Region,Country,City,Value,Year,Source
Asia,Pakistan,Lahore,27,2015,www.pakistantimes.com
Asia,Republic of Korea,Seoul,43,2009,www.chinabrt.org buses and ridership estimated
Asia,Taiwan,Chiayi,29.65,2014,e-bus.chiayi.gov.tw
Asia,Taiwan,Taichung,17.2,2014,www.chinapost.com.tw
Asia,Taiwan,Taipei,60,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Asia,Thailand,Bangkok,15.3,2011,www.chinabrt.org
Europe,Belgium,Liège,6,2009,Google Maps
Europe,Czech Republic,Prague,10.25,2011,COST - European Cooperation in Science and Technology
Europe,Finland,Helsinki,27.5,2011,COST - European Cooperation in Science and Technology
Europe,France,Belfort,4.5,2014,info.optymo.fr
Europe,France,Caen,15.7,2009,www.nbrti.org
Europe,France,Cannes,11,2014,www.silteplait.info
Europe,France,Châlon-sur-Saône,6.4,2014,www.mobilicites.com
Europe,France,Douai,34,2010,Viva 2010 ( www.uncrd.or.jp );connectedcities.eu ; lw2.easy-site.nl
Europe,France,Evry,18,2014,www.bus-tice.com
Europe,France,La Rochelle,6,2010,www.ville-larochelle.fr
Europe,France,Lille,5.5,2010,www.nbrti.org bhns.fr
Europe,France,Lorient,4.6,2011,COST - European Cooperation in Science and Technology .
Europe,France,Lyon,4,2009,www.nbrti.org
Europe,France,Maubeuge,8.4,2009,www.nbrti.org
Europe,France,Metz,17.9,2013,mettis.metzmetropole.fr
Europe,France,Nancy,12,2009,www.nbrti.org
Europe,France,Nantes,6.9,2011,COST - European Cooperation in Science and Technology
Europe,France,Nice,,,
Europe,France,Nîmes,4.5,2015,trambus.nimes-metropole.fr
Europe,France,Paris,41.2,2011,
Europe,France,Rouen,31.1,2015,Google Maps
Europe,France,Saint-Nazaire,9,2013,www.mobilicites.com
Europe,France,Strasbourg,5.2,2014,fr.wikipedia.org
Europe,France,Toulouse,11,2010,Viva 2010 ( www.uncrd.or.jp ); CERTU 2010
Europe,Germany,Essen,24.2,2011,COST - European Cooperation in Science and Technology
Europe,Germany,Hamburg,15.1,2013,www.via-bus.de
Europe,Germany,Oberhausen,6.8,2011,COST - European Cooperation in Science and Technology
