Region,Country,City,Value,Year,Source
Latin America,Uruguay,Montevideo,4.64,,Calculated using annual demand and fare
Latin America,Venezuela,Caracas,4.01,,Calculated using annual demand and fare
Latin America,Venezuela,Merida,4.01,,Calculated using annual demand and fare
Latin America,Venezuela,Barquisimeto,26.63,,Calculated using annual demand and fare
Northern America,Canada,Brampton,22,2015,Calculated using annual demand and fare
Northern America,Canada,Gatineau,,,
Northern America,Canada,Halifax,,,
Northern America,Canada,Ottawa,125,,Calculated using annual demand and fare
Northern America,Canada,Vancouver,44,,Calculated using annual demand and fare
Northern America,Canada,Waterloo,7,,Calculated using annual demand and fare
Northern America,Canada,Winnipeg,69,,Calculated using annual demand and fare
Northern America,Canada,York Regional Municipality,6,,Calculated using annual demand and fare
Northern America,United States,Alexandria - Arlington,0,,Calculated using annual demand and fare
Northern America,United States,Albuquerque,2,,Calculated using annual demand and fare
Northern America,United States,Boston,15,,Calculated using annual demand and fare
Northern America,United States,Chicago,6,,Calculated using annual demand and fare
Northern America,United States,Cleveland,8,,Calculated using annual demand and fare
Northern America,United States,Eugene,4,,Calculated using annual demand and fare
Northern America,United States,Everett,2,,Calculated using annual demand and fare
Northern America,United States,Kansas City,4,,Calculated using annual demand and fare
Northern America,United States,Las Vegas,43,,Calculated using annual demand and fare
Northern America,United States,Los Angeles,12,,Calculated using annual demand and fare
Northern America,United States,Miami,11,,Calculated using annual demand and fare
Northern America,United States,New York,115,,Calculated using annual demand and fare
Northern America,United States,Oakland,,,
Northern America,United States,Orlando,2,,Calculated using annual demand and fare
Northern America,United States,Phoenix,,,
Northern America,United States,Pittsburgh,29,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Northern America,United States,San Bernardino,,,
Northern America,United States,San Diego,,,
Northern America,United States,Snohomish County,,,
Northern America,United States,Stockton,2,,Calculated using annual demand and fare
Oceania,Australia,Adelaide,15,,Calculated using annual demand and fare
Oceania,Australia,Brisbane,293,,Calculated using annual demand and fare
Oceania,Australia,Sydney - Blacktown - Rouse Hill,1,,Calculated using annual demand and fare
Oceania,Australia,Sydney - Liverpool - Parramatta,3,,Calculated using annual demand and fare
Oceania,Australia,Sydney - Parramatta - Rouse Hill,4,,Calculated using annual demand and fare
Oceania,New Zealand,Auckland,14,,Calculated using annual demand and fare
