"Indicator","Category","Region","Country","City","Value","Year","Source","Timeliness","nas"
"Year system commenced","system info","Northern America","United States","San Diego","2009",NA,"www.sandag.org",NA,0
"Year system commenced","system info","Northern America","United States","Snohomish County","2009",NA,"en.wikipedia.org",NA,0
"Year system commenced","system info","Northern America","United States","Stockton","2007",NA,"www.sanjoaquinrtd.com",NA,0
"Year system commenced","system info","Asia","China","Beijing","2004",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Changde","2012",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Changzhou","2008",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Chengdu","2013",NA,"www.worldbrt.net",NA,0
"Year system commenced","system info","Asia","China","Chongqing","2008",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Dalian","2008",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Guangzhou","2010",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Hangzhou","2006",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Hefei","2010",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Jinan","2008",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Kunming","1999",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Lanzhou","2013",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Lianyungang","2012",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Urumqi","2011",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Xiamen","2008",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Yancheng","2010",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Yichang","2015",NA,"www.itdp.org",NA,0
"Year system commenced","system info","Asia","China","Yinchuan","2012",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Zaozhuang","2010",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Zhengzhou","2009",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","India","Ahmedabad","2009",NA,"www.worldbrt.net",NA,0
"Year system commenced","system info","Asia","India","Bhopal","2013",NA,"Embarq India",NA,0
"Year system commenced","system info","Asia","India","Indore","2013",NA,"EMBARQ India",NA,0
"Year system commenced","system info","Asia","India","Jaipur","2010",NA,"",NA,0
"Year system commenced","system info","Asia","India","Pune - Primpi-Chinchwad","2015",NA,"rainbowbrtpune.wordpress.com",NA,0
"Year system commenced","system info","Asia","India","Rajkot","2012",NA,"EMBARQ India",NA,0
"Year system commenced","system info","Asia","India","Surat","2014",NA,"www.embarq.org",NA,0
"Year system commenced","system info","Asia","Indonesia","Jakarta","2004",NA,"Transjakarta",NA,0
"Year system commenced","system info","Asia","Iran","Isfahan","2013",NA,"",NA,0
"Year system commenced","system info","Asia","Iran","Tabriz","2009",NA,"www.globalmasstransit.net",NA,0
"Year system commenced","system info","Asia","Iran","Tehran","2008",NA,"Tehran Bus",NA,0
"Year system commenced","system info","Asia","Israel","Haifa","2013",NA,"www.brt.cl",NA,0
"Year system commenced","system info","Asia","Japan","Kesennuma - Tome","2012",NA,"en.wikipedia.org",NA,0
"Year system commenced","system info","Asia","Japan","Nagoya","2001",NA,"Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","Malaysia","Subang Jaya","2015",NA,"www.chatpropertymalaysia.com",NA,0
"Year system commenced","system info","Asia","Pakistan","Islamabad - Rawalpindi","2015",NA,"www.pakistantimes.com",NA,0
"Year system commenced","system info","Asia","Pakistan","Lahore","2013",NA,"thecityfix.com",NA,0
"Year system commenced","system info","Asia","Republic of Korea","Seoul","2004",NA,"Bus Rapid Transit Planning Guide (ITDP) 2007",NA,0
"Year system commenced","system info","Asia","Taiwan","Chiayi","2008",NA,"e-bus.chiayi.gov.tw",NA,0
"Year system commenced","system info","Asia","Taiwan","Taichung","2014",NA,"easts.info",NA,0
"Year system commenced","system info","Asia","Taiwan","Taipei","1998",NA,"Bus Rapid Transit Planning Guide (ITDP) 2007",NA,0
"Year system commenced","system info","Asia","Thailand","Bangkok","2010",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Africa","Nigeria","Lagos","2008",NA,"Viva 2010 ( www.uncrd.or.jp ); Trans-Africa Consortium 2010 ; www.itdp.org",NA,0
"Year system commenced","system info","Africa","South Africa","Cape Town","2011",NA,"www.capetown.gov.za",NA,0
"Year system commenced","system info","Africa","South Africa","Johannesburg","2009",NA,"Rea Vaya",NA,0
"User rating","system image","Latin America","Argentina","Buenos Aires",NA,NA,"",NA,1
"User rating","system image","Latin America","Argentina","Córdoba",NA,NA,"",NA,1
"User rating","system image","Latin America","Argentina","Rosario",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","Belém","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Belo Horizonte",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","Blumenau","Good",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Brasília",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","Campinas","Average & Excellent",NA,"",NA,0
"User rating","system image","Latin America","Brazil","Campo Grande","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Caxias do Sul","Good",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Criciúma","Good",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Curitiba",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","São Paulo - Metropolitan area","Good",2011,"www.antp.org.br",5,0
"User rating","system image","Latin America","Brazil","Feira de Santana","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Fortaleza","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Goiânia",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","Guarulhos","Good",2011,"www.antp.org.br",5,0
"User rating","system image","Latin America","Brazil","Jaboatão dos Guararapes","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","João Pessoa","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Joinville","Good",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Juiz de Fora","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Londrina","Good",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Maceió","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Natal","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Niterói","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Olinda","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Porto Alegre","Good",NA,"EPTC",NA,0
"User rating","system image","Latin America","Brazil","Recife","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Rio de Janeiro",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","Salvador","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Santos","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","São Paulo","Good",2011,"www.antp.org.br",5,0
"User rating","system image","Latin America","Brazil","Sorocaba","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Sumaré","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Teresina","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Uberaba",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","Uberlândia","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Chile","Santiago","Good",2010,"The Survey was done in August-September 2010 by Collect GFK for the following study: ""Transantiago: Estudio Tracking Calidad de Servicio N#3"" and was sent by Ingrid Loewe (Chief of Infraestructure Unit in Transantiago)",6,0
"User rating","system image","Latin America","Colombia","Barranquilla",NA,NA,"",NA,1
"User rating","system image","Latin America","Colombia","Bogotá","Good",2010,"Encuesta satisfacción del usuario Datexco para Transmilenio, 2010",6,0
"User rating","system image","Latin America","Colombia","Bucaramanga",NA,NA,"",NA,1
"User rating","system image","Latin America","Colombia","Cali","Average",2014,"www.metrocali.gov.co",2,0
"User rating","system image","Latin America","Colombia","Cartagena",NA,NA,"",NA,1
"User rating","system image","Latin America","Colombia","Medellín","Good",2009,"Trolmerida",7,0
"User rating","system image","Latin America","Colombia","Pereira","Excellent",2010,"Encuesta satisfacción del usuario Megabús, 2010",6,0
"User rating","system image","Latin America","Ecuador","Guayaquil","Good",2011,"www.metrovia-gye.com , letter M)",5,0
"User rating","system image","Latin America","Ecuador","Quito",NA,NA,"",NA,1
"User rating","system image","Latin America","El Salvador","Gran San Salvador","Good",2015,"www.vmt.gob.sv",1,0
"User rating","system image","Latin America","Guatemala","Guatemala",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Chihuahua",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Ecatepec",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Guadalajara","Good",NA,"www.ctsmexico.org",NA,0
"User rating","system image","Latin America","Mexico","Guadalupe",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","León de los Aldama","Good",NA,"Protransporte Planing and Information System Office",NA,0
"User rating","system image","Latin America","Mexico","Mexico City",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Juárez","Good",2015,"www.planjuarez.org",1,0
"User rating","system image","Latin America","Mexico","Monterrey",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Nezahualcoyotl",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Pachuca",NA,NA,"",NA,1
"User rating","system image","Latin America","Mexico","Puebla",NA,NA,"",NA,1
"User rating","system image","Latin America","Panama","Panama",NA,NA,"",NA,1
"User rating","system image","Latin America","Peru","Lima","Good",NA,"Protransporte Planing and Information System Office",NA,0
"User rating","system image","Latin America","Trinidad and Tobago","Port of Spain - Arima",NA,NA,"",NA,1
"User rating","system image","Latin America","Uruguay","Montevideo",NA,NA,"",NA,1
"User rating","system image","Latin America","Venezuela","Caracas","Good",2013,"www.minci.gob.ve",3,0
"User rating","system image","Latin America","Venezuela","Merida","Good",2009,"María Alejandra Guilarte Castro, Former president of Trolmerida",7,0
"User rating","system image","Latin America","Venezuela","Barquisimeto",NA,NA,"",NA,1
"User rating","system image","Oceania","Australia","Adelaide",NA,NA,"",NA,1
"User rating","system image","Oceania","Australia","Brisbane",NA,NA,"",NA,1
"User rating","system image","Oceania","Australia","Sydney - Blacktown - Rouse Hill","Excellent",2012,"URBAN PLANNING AND DESIGN STUDY FOR THE LIVERPOOL TO PARRAMATTA TRANSITWAY",4,0
"User rating","system image","Oceania","Australia","Sydney - Liverpool - Parramatta","Good",2012,"CDC e-mail",4,0
"User rating","system image","Oceania","Australia","Sydney - Parramatta - Rouse Hill","Good",NA,"CDC e-mail",NA,0
"User rating","system image","Oceania","New Zealand","Auckland",NA,NA,"",NA,1
"User rating","system image","Europe","Belgium","Liège",NA,NA,"",NA,1
"User rating","system image","Europe","Czech Republic","Prague",NA,NA,"",NA,1
"User rating","system image","Europe","Finland","Helsinki",NA,NA,"",NA,1
"User rating","system image","Europe","France","Belfort",NA,NA,"",NA,1
"User rating","system image","Europe","France","Caen",NA,NA,"",NA,1
"User rating","system image","Europe","France","Cannes",NA,NA,"",NA,1
"User rating","system image","Europe","France","Châlon-sur-Saône",NA,NA,"",NA,1
"User rating","system image","Europe","France","Douai",NA,NA,"",NA,1
"User rating","system image","Europe","France","Evry",NA,NA,"",NA,1
"User rating","system image","Europe","France","La Rochelle",NA,NA,"",NA,1
