"REGION","COUNTRY","CITY","CORRIDOR","CORRIDOR_LENGTH_KM","DAILY_DEMAND_CORRIDOR_PASSENGERS_PER_DAY","GRADE_SEPARATED_INTERSECTIONS_CORRIDOR","LENGTH_OF_EXCLUSIVE_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_COUNTERFLOW_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_LANES_CORRIDOR_KM","OPERATING_SPEED_CORRIDOR","PEAK_FREQUENCY_CORRIDOR_BUSES_PER_HOUR_PER_DIRECTION","PEAK_LOAD_CORRIDOR_PASSENGERS_PER_HOUR_PER_DIRECTION","PHYSICALLY_INTEGRATED_FEEDERS","PRE_BOARD_FARE_COLLECTION_CORRIDOR","STATION_SPACING_CORRIDOR_M","TOTAL_COST_PER_KILOMETER_CORRIDOR_US_MILLION_PER_KM","YEAR_CORRIDOR_COMMENCED"
"Asia","China","Zhengzhou","Line 1","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org"
"Asia","India","Ahmedabad","","Making of Janmarg Amdavad atwww.asiabrts.org","www.ahmedabadbrts.com","","","","","www.embarq.org","www.worldbrt.net","www.embarq.org","","www.worldbrt.net","","www.worldbrt.net","www.worldbrt.net"
"Asia","India","Bhopal","","EMBARQ India","EMBARQ India","","","","EMBARQ India","","www.centralchronicle.com","","","","Calculated using corridor length and stations","","Embarq India"
"Asia","India","Indore","","EMBARQ India","BRT Planning for Vientiane atwww.asiabrts.org","","","","EMBARQ India","","","","","EMBARQ India","EMBARQ India","","EMBARQ India"
"Asia","India","Jaipur","","Primary Survey, EMBARQ","Primary Survey,EMBARQ","Primary Survey,EMBARQ","Primary Survey,EMBARQ","Primary Survey, EMBARQ","Primary Survey, EMBARQ","Primary Survey,EMBARQ","Primary Survey, EMBARQ","Primary Survey, EMBARQ","Primary Survey,EMBARQ","Primary Survey,EMBARQ","Primary Survey,EMBARQ","","Interview with JCTSL officials"
"Asia","India","Pune","","Interview with PMPML officials","Primary Survey, EMBARQ","Primary Survey, EMBARQ","Primary Survey, EMBARQ","Primary Survey, EMBARQ","Primary Survey, EMBARQ","Primary Survey, EMBARQ","Primary Survey, EMBARQ","Primary Survey, EMBARQ","Primary Survey, EMBARQ","Primary Survey, EMBARQ","Primary Survey, EMBARQ","","Interview with PMPML Officials"
"Asia","India","Rajkot","","EMBARQ India","EMBARQ India","","","","EMBARQ India","","","","","","EMBARQ India","","EMBARQ India"
"Asia","India","Surat","Udhna Darwaza to Sachin GIDC","cept.ac.in","Integrated City Bus Services Surat atwww.asiabrts.org","thenih0n.in","","","cept.ac.in","","www.globalmasstransit.net","","","www.youtube.com","Calculated using corridor length and stations","","cept.ac.in"
"Asia","Indonesia","Jakarta","Koridor 1","Transjakarta","","www.chinabrt.org","","","","www.embarq.org","www.chinabrt.org","","","Transjakarta","Calculated using corridor length and stations","www.itdp.org","Transjakarta"
"Asia","Indonesia","Jakarta","Koridor 10","Transjakarta","","www.chinabrt.org","","","","www.embarq.org","www.chinabrt.org","","","Transjakarta","Calculated using corridor length and stations","","Transjakarta"
"Asia","Indonesia","Jakarta","Koridor 11","Transjakarta","","www.chinabrt.org","","","","www.embarq.org","www.chinabrt.org","","","Transjakarta","Calculated using corridor length and stations","","Transjakarta"
"Asia","Indonesia","Jakarta","Koridor 12","Transjakarta","","www.chinabrt.org","","","","www.embarq.org","www.chinabrt.org","","","Transjakarta","Calculated using corridor length and stations","","Transjakarta"
"Asia","Indonesia","Jakarta","Koridor 2","Transjakarta","","www.chinabrt.org","","","","www.embarq.org","www.chinabrt.org","","","Transjakarta","Calculated using corridor length and stations","","Transjakarta"
"Asia","Indonesia","Jakarta","Koridor 3","Transjakarta","","www.chinabrt.org","","","","www.embarq.org","www.chinabrt.org","","","Transjakarta","Calculated using corridor length and stations","","Transjakarta"
"Asia","Indonesia","Jakarta","Koridor 4","Transjakarta","","www.chinabrt.org","","","","www.embarq.org","www.chinabrt.org","","","Transjakarta","Calculated using corridor length and stations","","Transjakarta"
"Asia","Indonesia","Jakarta","Koridor 5","Transjakarta","","www.chinabrt.org","","","","www.embarq.org","www.chinabrt.org","","","Transjakarta","Calculated using corridor length and stations","","Transjakarta"
"Asia","Indonesia","Jakarta","Koridor 6","Transjakarta","","www.chinabrt.org","","","","www.embarq.org","www.chinabrt.org","","","Transjakarta","Calculated using corridor length and stations","","Transjakarta"
"Asia","Indonesia","Jakarta","Koridor 7","Transjakarta","","www.chinabrt.org","","","","www.embarq.org","www.chinabrt.org","","","Transjakarta","Calculated using corridor length and stations","","Transjakarta"
"Asia","Indonesia","Jakarta","Koridor 8","Transjakarta","","www.chinabrt.org","","","","www.embarq.org","www.chinabrt.org","","","Transjakarta","Calculated using corridor length and stations","","Transjakarta"
"Asia","Indonesia","Jakarta","Koridor 9","Transjakarta","","www.chinabrt.org","","","","www.embarq.org","www.chinabrt.org","","","Transjakarta","Calculated using corridor length and stations","","Transjakarta"
"Asia","Iran","Tabriz","","Global Mass Transit Report:www.globalmasstransit.net","","","","","","","","","","","","","Global Mass Transit Report:www.globalmasstransit.net"
"Asia","Iran","Tehran","Line 1","Heddebaut O. et. al ""The European Bus with a High Level of Service (BHLS): Concept and Practice"", Built Environment Vol 36, No. 3, 2010","","","trafficorg.tehran.ir","trafficorg.tehran.ir","trafficorg.tehran.ir","","en.tehran.ir","","trafficorg.tehran.ir","trafficorg.tehran.ir","Calculated using corridor length and stations","","trafficorg.tehran.ir"
"Asia","Iran","Tehran","Line 10","trafficorg.tehran.ir","","","trafficorg.tehran.ir","trafficorg.tehran.ir","trafficorg.tehran.ir","","","","trafficorg.tehran.ir","trafficorg.tehran.ir","Calculated using corridor length and stations","","trafficorg.tehran.ir"
"Asia","Iran","Tehran","Line 2","trafficorg.tehran.ir","","","trafficorg.tehran.ir","trafficorg.tehran.ir","trafficorg.tehran.ir","","","","trafficorg.tehran.ir","trafficorg.tehran.ir","Calculated using corridor length and stations","","trafficorg.tehran.ir"
"Asia","Iran","Tehran","Line 3","trafficorg.tehran.ir","","","trafficorg.tehran.ir","trafficorg.tehran.ir","trafficorg.tehran.ir","","","","trafficorg.tehran.ir","trafficorg.tehran.ir","Calculated using corridor length and stations","","trafficorg.tehran.ir"
"Asia","Iran","Tehran","Line 4","trafficorg.tehran.ir","","","trafficorg.tehran.ir","trafficorg.tehran.ir","trafficorg.tehran.ir","","","","trafficorg.tehran.ir","trafficorg.tehran.ir","Calculated using corridor length and stations","","trafficorg.tehran.ir"
"Asia","Iran","Tehran","Line 5","www.ijsei.com","","","trafficorg.tehran.ir","trafficorg.tehran.ir","www.ijsei.com","","","","trafficorg.tehran.ir","trafficorg.tehran.ir","Calculated using corridor length and stations","","trafficorg.tehran.ir"
"Asia","Iran","Tehran","Line 7","trafficorg.tehran.ir","","","trafficorg.tehran.ir","trafficorg.tehran.ir","trafficorg.tehran.ir","","","","trafficorg.tehran.ir","trafficorg.tehran.ir","Calculated using corridor length and stations","","trafficorg.tehran.ir"
"Asia","Iran","Tehran","Line 8","www.ijsei.com","en.tehran.ir","","trafficorg.tehran.ir","trafficorg.tehran.ir","www.ijsei.com","","","","trafficorg.tehran.ir","trafficorg.tehran.ir","Calculated using corridor length and stations","","trafficorg.tehran.ir"
"Asia","Israel","Haifa","The Blue Line","www.dannorth.co.il","","","","","www.dannorth.co.il","www.dannorth.co.il","www.dannorth.co.il","","","www.dannorth.co.il","Calculated using corridor length and stations","","www.dannorth.co.il"
"Asia","Israel","Haifa","The Green Line","www.dannorth.co.il","","","","","www.dannorth.co.il","www.dannorth.co.il","www.dannorth.co.il","","","www.dannorth.co.il","Calculated using corridor length and stations","","www.dannorth.co.il"
"Asia","Israel","Haifa","The Red Line","www.dannorth.co.il","","","","","www.dannorth.co.il","www.dannorth.co.il","www.dannorth.co.il","","","www.dannorth.co.il","Calculated using corridor length and stations","","www.dannorth.co.il"
"Asia","Japan","Kesennuma - Tome","Kesennuma Line","ja.wikipedia.org","","","ja.wikipedia.org","ja.wikipedia.org","ja.wikipedia.org","","ja.wikipedia.org","","","","Calculated using corridor length and stations","","en.wikipedia.org"
"Asia","Japan","Nagoya","Yutorito Line","Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org","Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org","Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org","","","","Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org","Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org","Bus Rapid Transit Planning Guide (ITDP) 2007 ;www.chinabrt.org","","","","Bus Rapid Transit Planning Guide (ITDP) 2007","Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org"
