"REGION","COUNTRY","CITY","ANNUAL_FARE_REVENUE_US_MILLIONS","DAILY_DEMAND_PASSENGERS_PER_DAY","GDP_PER_CAPITA_US","MODAL_SPLIT_PRIVATE_TRANSPORT","MODAL_SPLIT_PUBLIC_TRANSPORT","OPERATING_SPEED","PEAK_FREQUENCY_BUSES_PER_HOUR","PEAK_LOAD_PASSENGERS_PER_HOUR_PER_DIRECTION","POPULATION_DENSITY_METROPOLITAN_AREA","POPULATION_CITY","STANDARD_FARE_US","STATION_SPACING_M","SYSTEM_LENGTH_KM","SYSTEM_NAME","YEAR_SYSTEM_COMMENCED"
"Europe","France","Nice",20,58000,42733,48,11,NA,NA,NA,387.4,343304,1.66,NA,NA,"Ligne d'azur",2010
"Europe","France","Nîmes",2,7719,42733,57,10,22.5,12,NA,893,146709,1.44,460,4.5,NA,2012
"Europe","France","Paris",37,89500,42733,16,34,23.5,17,3000,711.7,2243833,1.99,758,41.2,"TVM, RATP, T ZEN",1993
"Europe","France","Rouen",16,42000,42733,58,10,17.5,30,NA,275.8,110933,1.77,586.8,31.1,"TEOR",2001
"Europe","France","Saint-Nazaire",3,10000,42733,NA,NA,18.4,9,NA,202.6,67097,1.22,474,9,"HŽlyce",2012
"Europe","France","Strasbourg",4,9000,42733,47,12,18,NA,NA,347.6,272222,1.88,472,5.2,"Ligne G du BHNS de Strasbourg",2013
"Europe","France","Toulouse",NA,13300,42733,75,8,25,8,NA,229,441802,NA,600,11,"BSP",2008
"Europe","Germany","Essen",6,17000,47822,54,17,16.5,6,NA,1166.3,566201,1.77,NA,24.2,"The Spurbus",1980
"Europe","Germany","Hamburg",43,60000,47822,42,18,18.8,12,NA,440.7,1706696,3.43,503.3,15.1,"The MetroBus Line 5",2005
"Europe","Germany","Oberhausen",NA,25000,47822,56,16,34,40,NA,1646,209097,NA,1133.3,6.8,"…PNV-Trasse",1996
"Europe","Ireland","Dublin",NA,34000,53374,58,21.2,NA,NA,6400,258.8,525383,NA,NA,8.4,"QBC",1997
"Europe","Italy","Brescia",NA,12000,34906,68,14,15.5,12,NA,263.5,189085,NA,NA,27.8,"The LAM network",2006
"Europe","Italy","Prato",6,23000,34906,84,5,19.6,8,NA,685.1,184885,1.33,262.4,19.42,"LAM",2003
"Europe","Netherlands","Almere",NA,16000,52172,51,13,24.5,9,NA,686.1,195846,NA,NA,58,"MAXX",2004
"Europe","Netherlands","Amsterdam",27,40000,52172,38,20,35,10,960,686.1,802938,3.21,1718.2,56.7,"Zuidtangent BRT",2002
"Europe","Netherlands","Eindhoven",10,12000,52172,56,7,21,NA,NA,514.3,219456,NA,NA,15,"Phileas",2003
"Europe","Netherlands","Enschede",1,2568,52172,55,4,23.8,10,NA,NA,157962,1.11,600,23,"HOV lines",2000
"Europe","Netherlands","Utrecht",25,40000,52172,47,18,NA,8,NA,NA,323845,2.99,680,8.2,"TVM",2001
"Europe","Portugal","Lisbon",11,27000,22132,48,35,16,30,12000,940.5,547733,1.99,NA,4.8,"24 de Julho Corridor",1990
"Europe","Spain","Barcelona",8,15300,29767,37,22.1,10,8,1220,4400,1615448,2.38,589,21.8,"RetBus",2007
"Europe","Spain","Castellón",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Europe","Spain","Granada",8,27667,29767,NA,NA,NA,3,NA,596.9,237540,1.33,381.8,4.2,"L’nea de Alta Capacidad (LAC)",2014
"Europe","Spain","Madrid",39,112000,29767,29,42,28.5,185,7500,4700,3207247,1.66,860,16.1,"Bus VAO",1995
"Europe","Sweden","Gothenburg",16,25000,58939,50,26,21,20,NA,258,529343,3.06,688,16.5,"Stombuss",2003
"Europe","Sweden","Jonkoping",NA,18000,58939,NA,NA,22,NA,NA,64,129889,NA,NA,39.2,"PT",1996
"Europe","Sweden","Stockholm",51,57000,58939,47,35,16.5,15,NA,328,889501,4.24,450,40,"Stockholm BHLS (The trunk network for Buses)",1998
"Europe","Switzerland","Zurich",8,14000,84594,30,29,19,8,1300,903.5,396389,2.64,407,11,"VBZ zurich",2007
