"REGION","COUNTRY","CITY","ANNUAL_FARE_REVENUE_US_MILLIONS","DAILY_DEMAND_PASSENGERS_PER_DAY","GDP_PER_CAPITA_US","MODAL_SPLIT_PRIVATE_TRANSPORT","MODAL_SPLIT_PUBLIC_TRANSPORT","OPERATING_SPEED","PEAK_FREQUENCY_BUSES_PER_HOUR","PEAK_LOAD_PASSENGERS_PER_HOUR_PER_DIRECTION","POPULATION_DENSITY_METROPOLITAN_AREA","POPULATION_CITY","STANDARD_FARE_US","STATION_SPACING_M","SYSTEM_LENGTH_KM","SYSTEM_NAME","YEAR_SYSTEM_COMMENCED"
"Latin America","Argentina","Buenos Aires",NA,2013,2014,"2010","2010","","2013","2013","2010","2010","2015",NA,"2013","",""
"Latin America","Argentina","Córdoba",NA,2014,2014,"2009","2009","","","","2010","2010","2015",2014,"2014",NA,""
"Latin America","Argentina","Rosario",NA,2013,2014,"2008","2008","2013","","","2010","2010","2015",NA,"2013, one direction","",""
"Latin America","Brazil","Belém",NA,2014,2014,"2011, North region","2011, North region","2014","","","2013","2015","2015",NA,"2014",NA,""
"Latin America","Brazil","Belo Horizonte",NA,NA,2014,"2012","2012","","2012","2012","2012","2015","2016",NA,"","2014, only corridors Ant™nio Carlos, Cristiano Machado and çrea Central are part of MOVE system",""
"Latin America","Brazil","Blumenau",NA,NA,2014,"2011, South region","2011, South region","","","","","2015","2015",NA,"","",""
"Latin America","Brazil","Brasília",NA,NA,2014,"2009","2009","","","","2012","2015","2015",NA,"",NA,""
"Latin America","Brazil","Campinas",NA,NA,2014,"2011","2011","","","","2013","2015","2015",NA,"","",""
"Latin America","Brazil","Campo Grande",NA,NA,2014,"2011, Midwest region","2011, Midwest region","","","","","2015","2015",NA,"","",""
"Latin America","Brazil","Caxias do Sul",NA,NA,2014,"2011, South region","2011, South region","","","","","2015","2015",NA,"","",""
"Latin America","Brazil","Criciúma",NA,NA,2014,"2011, South region","2011, South region","","2012","","","2015","2015",NA,"",NA,""
"Latin America","Brazil","Curitiba",NA,NA,2014,"","","","","2013","","2015","2015",NA,"2014, the system length considers twice the common section of the corridors Linha Verde and Boqueirão","","In 1991, some corridors received improvements and became to operate as BRT"
"Latin America","Brazil","Feira de Santana",NA,NA,2014,"2011, Northeast region","2011, Northeast region","","","","","2015","2015",NA,"2014","",""
"Latin America","Brazil","Fortaleza",NA,2013,2014,"2011, Northeast region","2011, Northeast region","2012","2013","","","2015","2015",NA,"","",""
"Latin America","Brazil","Goiânia",NA,NA,2014,"2012","2012","","","","","2015","2015",NA,"",NA,""
"Latin America","Brazil","Guarulhos",NA,2013,2014,"2007","2007","","","","2013","2015","2015",2013,"2013","",""
"Latin America","Brazil","Jaboatão dos Guararapes",NA,NA,2014,"2011, Northeast region","2011, Northeast region","","","","","2015","2015",2012,"2012",NA,""
"Latin America","Brazil","João Pessoa",NA,2012,2014,"2011, Northeast region","2011, Northeast region","","2012","2012","2014","2015","2015",NA,"2014, 2.8 km is only in one direction",NA,""
"Latin America","Brazil","Joinville",NA,NA,2014,"2010","2010","","","","","2015","2015",NA,"","",""
"Latin America","Brazil","Juiz de Fora",NA,NA,2014,"2011, Southeast region","2011, Southeast region","","","","","2015","2015",NA,"2001","",""
"Latin America","Brazil","Londrina",NA,NA,2014,"2004","2004","","","","","2015","2015",NA,"","",""
"Latin America","Brazil","Maceió",NA,NA,2014,"2011, Northeast region","2011, Northeast region","","","","","2015","2015",NA,"",NA,""
"Latin America","Brazil","Natal",NA,NA,2014,"","","","","","","2015","2015",NA,"","",""
"Latin America","Brazil","Niterói",NA,NA,2014,"","","","","","","2015","2015",NA,"",NA,""
"Latin America","Brazil","Olinda",NA,NA,2014,"","","","","","","2015, for cities Igarassu, Olinda, Abreu e Lima and Paulista","2015",NA,"","",""
"Latin America","Brazil","Porto Alegre",NA,2012,2014,"2003","2003","","","2012","2013","2015","2015",NA,"","",""
"Latin America","Brazil","Recife",NA,2011,2014,"2012","2012","","","","","2015","2015",NA,"","2014, only corridors Norte-Sul and Leste-Oeste",""
"Latin America","Brazil","Rio de Janeiro",NA,NA,2014,"2012, metropolitan area","2012, metropolitan area","","2014, corridor BRS Presidente Vargas","2012, corridor BRS Presidente Vargas","2014","2015","2016",NA,"","2014, only corridors TransOeste and TransCarioca",""
"Latin America","Brazil","Salvador",NA,NA,2014,"2012","2012","","","","2012","2015","2015",NA,"","",""
"Latin America","Brazil","Santos",NA,2012,2014,"2011, Southeast region","2011, Southeast region","","2012","","2013","2015","2015",NA,"","",""
"Latin America","Brazil","São Paulo",NA,2013,2014,"2012, metropolitan area","2012, metropolitan area","","","","2013","2015","2016",NA,"2013",NA,""
"Latin America","Brazil","São Paulo - Metropolitan area",NA,2015,2014,"2012, metropolitan area","2012, metropolitan area","2014","","","2014","2015, for cities Diadema, São Bernardo, Santo André, Mauá and São Paulo","2015",2015,"",NA,""
"Latin America","Brazil","Sorocaba",NA,NA,2014,"2013","2013","","","","2012","2015","2015",NA,"","",""
"Latin America","Brazil","Sumaré",NA,NA,2014,"","","","","","2013","2015","2015",NA,"",NA,""
"Latin America","Brazil","Teresina",NA,NA,2014,"2008","2008","","","","2014","2015","2015",NA,"","",""
"Latin America","Brazil","Uberaba",2015,2015,2014,"","","2013","2015","","2013, Calculating using population city divided by area of territorial unit","2015","2015",2015,"2015","2015",""
"Latin America","Brazil","Uberlândia",NA,2013,2014,"2012","2012","2013","","2013","2014","2015","2015",2014,"2014",NA,""
"Latin America","Chile","Santiago",NA,2012,2014,"2006","2006","","2012","2013","2010","2010","2015",NA,"","",""
"Latin America","Colombia","Barranquilla",NA,2013,2014,"2015","2015","","","","2008","2011","2015",NA,"","",""
"Latin America","Colombia","Bogotá",NA,2014,2014,"2010","2010","2013","","2013","2014","2014","2016",2014,"2014",NA,""
"Latin America","Colombia","Bucaramanga",NA,2012,2014,"","","2012","2012","2011","","2011","2015",NA,"","",""
"Latin America","Colombia","Cali",NA,2014,2014,"2005","2005","2014","2013","2013","2014","2014","2015",2014,"2014","",""
"Latin America","Colombia","Medellín",NA,NA,2014,"","","","2013","2013","","","2015",NA,"",NA,""
"Latin America","Colombia","Pereira",NA,2015,2014,"","","2010","","2009","2015","2015","2016",NA,"","",""
"Latin America","Ecuador","Guayaquil",NA,NA,2014,"2004","2004","","","2013","","2010","2015",NA,"2013","",""
"Latin America","Ecuador","Quito",NA,2012,2014,"2009","2009","","2012","2011","2001","2010","2015",NA,"","",""
"Latin America","El Salvador","Gran San Salvador",NA,2015,2014,"","","2015","2015","2015","2015","2009","2015",NA,"2015","",""
"Latin America","Guatemala","Guatemala",NA,NA,2014,"","","","","","2011","2013, population of Guatemala City and Villa Nueva","2015",NA,"","",""
"Latin America","Mexico","Chihuahua",NA,2014,2014,"","","","","","2010, for Chihuahua, Aldama and Aquiles Serdán","2010","2015",2013,"2013","",""
"Latin America","Mexico","Ecatepec",NA,2013,2014,"2010","2010","","","2012","2005","2010, population of Ecatepec and Tecámac","2015",2013,"2013","",""
"Latin America","Mexico","Guadalajara",NA,2010,2014,"2007","2007","2010","","2010","","2010","2015",NA,"","",""
"Latin America","Mexico","Guadalupe",NA,NA,2014,"2005, for all metropolitan area of Metrorrey","2005, for all metropolitan area of Metrorrey","","2013","","2010","2014","",2014,"2013","",""
"Latin America","Mexico","Juárez",NA,2015,2014,"2004","2004","","","","2010","2010","2013",NA,"",NA,""
"Latin America","Mexico","León de los Aldama",NA,NA,2014,"2007","2007","","","","2007","2005","2015",NA,"",NA,""
"Latin America","Mexico","Mexico City",NA,2016,2014,"2007","2007","","2014","2014","","","2015",2016,"2016","",""
"Latin America","Mexico","Monterrey",NA,NA,2014,"2005, for all metropolitan area of Metrorrey","2005, for all metropolitan area of Metrorrey","","","","2010","2010","2014",NA,"2014","",""
"Latin America","Mexico","Nezahualcoyotl",NA,2013,2014,"2010","2010","2013","2013","","2005","2010, population of Nezahualcoyotl, Chimalhuacán and Delegación Venustiano Carranza (DF)","2015",2013,"2013","",""
"Latin America","Mexico","Pachuca",NA,2016,NA,NA,NA,"","","",NA,NA,NA,NA,"2014",NA,NA
"Latin America","Mexico","Puebla",NA,NA,2014,"2008","2008","","","","2010","2010","2015",2015,"2015","",""
