"CITY","COUNTRY","CONTINENT","SYSTEM","OPENING","NETWORK_LENGTH","STATIONS","STATIONS1","LINES","AVG_STATION_DISTANCE","AVG_LINE_LENGTH","STATIONS_PER_LINE","DAILY_RIDERSHIP","RIDERSHIP_PER_KM","ANNUAL_RIDERSHIP","RIDERSHIP_YEAR","FARE","TRACKS","GAUGE","POWER_SUPPLY","VOLTAGE","DRIVERLESS","RUBBER_TYRED","DRIVERLESS_SINCE","PLATFORM_SCREEN_DOORS","AIRCON_TRAINS","WALK_THROUGH","REMARKS"
"Changsha","China","Asia","Metro","29 Apr 2014","26.6 km",23,23,1,"1,209 m",26.6,23,"","","",NA,"","","","","","","",NA,"","","",""
"Charleroi","Belgium","Europe","M_tro L_ger","21 Jun 1976","17.5 km",23,23,4,"921 m",4.4,5.8,"","","",NA,"","","","","","","",NA,"","","","total length 33,3 km, 12 underground stations, 23 full metro stations. Wiki"
"Chengdu","China","Asia","Metro","27 Sep 2010","88.2 km",70,67,3,"1,316 m",29.4,23.3,"282,000","3,200","103 million",2012,"","right","","","","","",NA,"yes","yes","","http://railway-technology.com/projects/chengdu-metro"
"Chennai","India","Asia","MRTS","19 Oct 1997","37.0 km",24,24,2,"1,682 m",18.5,12,"","","",NA,"","","","","","","",NA,"","","",""
"Chiba","Japan","Asia","Monorail","28 Mar 1988","15.5 km",18,18,2,"969 m",7.8,9,"","","",NA,"","left","","","","","",NA,"","","",""
"Chicago","USA","America","L","6 Jun 1892","166.0 km",153,145,8,"1,145 m",20.8,19.1,"608,000","3,660","222 million",2011,"1.58 EUR","right","1435","third rail","600","","",NA,"","yes","","151 Stations and 173 km (UrbanRail.net)"
"Chongqing","China","Asia","Monorail","18 Jun 2005","203.0 km",118,111,4,"1,780 m",50.7,29.5,"","","",NA,"","right","","","","","",NA,"The three underground stations (Daping, Linjiangmen, and Jiaochangkou) have PSDs","yes","yes",""
"Cleveland","USA","America","Rapid Transit","15 Mar 1955","31.0 km",18,18,1,"1,824 m",31,18,"16,400","530","6 million",2011,"","right","1435","overhead wire","600","","",NA,"","","","2 Light Rail lines not included"
"Cologne","Germany","Europe","Stadtbahn","11 Oct 1968","47.4 km",55,55,15,"1,185 m",3.2,3.7,"","","",NA,"","right","1435","overhead wire","750","","",NA,"","new light rail trains only","yes","Approx. 45 km metro-like. 30 km underground."
"Copenhagen","Denmark","Europe","Metro","19 Oct 2002","21.0 km",22,22,2,"1,050 m",10.5,11,"148,000","7,050","54 million",2011,"2.81 EUR","right","1435","third rail","750","all metro lines","",2002,"all underground stations","all metro and S-Tog trains","yes","According to official website"
"Daegu","South Korea","Asia","Subway","26 Nov 1997","81.2 km",89,86,3,"944 m",27.1,29.7,"348,000","4,290","127 million",2012,"","","","","","","",NA,"lines 1, 2","","",""
"Daejeon","South Korea","Asia","Subway","16 Mar 2006","22.6 km",22,22,1,"1,076 m",22.6,22,"104,000","4,610","38 million",2011,"","","","","","","",NA,"yes","","",""
"Dalian","China","Asia","Metro","1 May 2003","141.0 km",56,55,4,"2,712 m",35.3,14,"121,000","854","44 million",2012,"","right","","","","","",NA,"","","","Metro and suburban service"
"Delhi","India","Asia","Metro","24 Dec 2002","214.9 km",163,152,7,"1,378 m",30.7,23.3,"1.66 million","7,730","606 million",2011,"0.12 EUR","left","1676, 1435 (Green, Violet lines)","overhead wire","25000","","",NA,"Line 5, Airport Metro Express","yes","yes","Gurgaon metro included"
"Detroit","USA","America","People Mover","Jul 1987","4.8 km",13,13,1,"400 m",4.8,13,"","","",NA,"","right","1435","third rail","600","downtown people mover, LIM technology","",1987,"","yes","",""
"Dnepropetrovsk","Ukraine","Europe","Metro","29 Dec 1995","7.1 km",6,6,1,"1,420 m",7.1,6,"24,700","3,470","9 million",2010,"","","1520","third rail","825","","",NA,"","","","According to Mr. Yuri Popov"
