"Indicator","Category","Region","Country","City","Value","Year","Source","Timeliness","nas"
"Year system commenced","system info","Asia","China","Hefei","2010",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Jinan","2008",NA,"ITDP China",NA,0
"Year system commenced","system info","Asia","China","Kunming","1999",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Lanzhou","2013",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Lianyungang","2012",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Urumqi","2011",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Xiamen","2008",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Yancheng","2010",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Yichang","2015",NA,"www.itdp.org",NA,0
"Year system commenced","system info","Asia","China","Yinchuan","2012",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Zaozhuang","2010",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","China","Zhengzhou","2009",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","India","Ahmedabad","2009",NA,"www.worldbrt.net",NA,0
"Year system commenced","system info","Asia","India","Amritsar","2019",NA,"www.uniindia.com",NA,0
"Year system commenced","system info","Asia","India","Bhopal","2013",NA,"Embarq India",NA,0
"Year system commenced","system info","Asia","India","Hubballi-Dharwad","2020",NA,"www.thehindu.com",NA,0
"Year system commenced","system info","Asia","India","Indore","2013",NA,"EMBARQ India",NA,0
"Year system commenced","system info","Asia","India","Jaipur","2010",NA,"",NA,0
"Year system commenced","system info","Asia","India","Pune - Primpi-Chinchwad","2015",NA,"rainbowbrtpune.wordpress.com",NA,0
"Year system commenced","system info","Asia","India","Rajkot","2012",NA,"EMBARQ India",NA,0
"Year system commenced","system info","Asia","India","Surat","2014",NA,"www.embarq.org",NA,0
"Year system commenced","system info","Asia","Indonesia","Jakarta","2004",NA,"Transjakarta",NA,0
"Year system commenced","system info","Asia","Iran","Isfahan","2013",NA,"",NA,0
"Year system commenced","system info","Asia","Iran","Tabriz","2009",NA,"www.globalmasstransit.net",NA,0
"Year system commenced","system info","Asia","Iran","Tehran","2008",NA,"Tehran Bus",NA,0
"Year system commenced","system info","Asia","Israel","Haifa","2013",NA,"www.brt.cl",NA,0
"Year system commenced","system info","Asia","Japan","Kesennuma - Tome","2012",NA,"en.wikipedia.org",NA,0
"Year system commenced","system info","Asia","Japan","Nagoya","2001",NA,"Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","Malaysia","Subang Jaya","2015",NA,"www.chatpropertymalaysia.com",NA,0
"Year system commenced","system info","Asia","Pakistan","Islamabad - Rawalpindi","2015",NA,"www.pakistantimes.com",NA,0
"Year system commenced","system info","Asia","Pakistan","Lahore","2013",NA,"thecityfix.com",NA,0
"Year system commenced","system info","Asia","Republic of Korea","Seoul","2004",NA,"Bus Rapid Transit Planning Guide (ITDP) 2007",NA,0
"Year system commenced","system info","Asia","Taiwan","Chiayi","2008",NA,"e-bus.chiayi.gov.tw",NA,0
"Year system commenced","system info","Asia","Taiwan","Taichung","2014",NA,"easts.info",NA,0
"Year system commenced","system info","Asia","Taiwan","Taipei","1998",NA,"Bus Rapid Transit Planning Guide (ITDP) 2007",NA,0
"Year system commenced","system info","Asia","Thailand","Bangkok","2010",NA,"www.chinabrt.org",NA,0
"Year system commenced","system info","Asia","Vietnam","Hanoi","2017",NA,"www.lecourrier.vn",NA,0
"Year system commenced","system info","Africa","Nigeria","Lagos","2008",NA,"Viva 2010 ( www.uncrd.or.jp ); Trans-Africa Consortium 2010 ; www.itdp.org",NA,0
"Year system commenced","system info","Africa","South Africa","Cape Town","2011",NA,"www.capetown.gov.za",NA,0
"Year system commenced","system info","Africa","South Africa","Johannesburg","2009",NA,"Rea Vaya",NA,0
"Year system commenced","system info","Africa","South Africa","Pretoria","2014",NA,"showme.co.za",NA,0
"Year system commenced","system info","Africa","Tanzania","Dar es Salaam","2016",NA,"www.thecitizen.co.tz",NA,0
"User rating","system image","Latin America","Argentina","Buenos Aires",NA,NA,"",NA,1
"User rating","system image","Latin America","Argentina","Buenos Aires - Metropolitan Area",NA,NA,"",NA,1
"User rating","system image","Latin America","Argentina","Córdoba",NA,NA,"",NA,1
"User rating","system image","Latin America","Argentina","Neuquén",NA,NA,"",NA,1
"User rating","system image","Latin America","Argentina","Santa Fe",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","Belém","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Belo Horizonte",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","Brasília",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","Campinas","Average & Excellent",NA,"",NA,0
"User rating","system image","Latin America","Brazil","Criciúma","Good",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Curitiba",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","Fortaleza","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Goiânia",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","Guarulhos","Good",2011,"www.antp.org.br",11,0
"User rating","system image","Latin America","Brazil","Juiz de Fora","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Londrina","Good",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Natal","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Niterói",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","Porto Alegre","Good",NA,"EPTC",NA,0
"User rating","system image","Latin America","Brazil","Recife","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Rio de Janeiro",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","São Paulo","Good",2011,"www.antp.org.br",11,0
"User rating","system image","Latin America","Brazil","São Paulo - Metropolitan area","Good",2011,"www.antp.org.br",11,0
"User rating","system image","Latin America","Brazil","Sumaré","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Teresina",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","Uberaba",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","Uberlândia","Average",NA,"www.ipea.gov.br",NA,0
"User rating","system image","Latin America","Brazil","Sorocaba",NA,NA,"",NA,1
"User rating","system image","Latin America","Brazil","Maringá",NA,NA,"",NA,1
"User rating","system image","Latin America","Chile","Concepción",NA,NA,"",NA,1
"User rating","system image","Latin America","Chile","Santiago","Good",2010,"The Survey was done in August-September 2010 by Collect GFK for the following study: ""Transantiago: Estudio Tracking Calidad de Servicio N#3"" and was sent by Ingrid Loewe (Chief of Infraestructure Unit in Transantiago)",12,0
"User rating","system image","Latin America","Colombia","Barranquilla",NA,NA,"",NA,1
"User rating","system image","Latin America","Colombia","Bogotá","Good",2010,"Encuesta satisfacción del usuario Datexco para Transmilenio, 2010",12,0
