"city","corridor","system","country","country_ITDP","city_ITDP","year","corridor_length","a","a1","a2","a3","a4","a5","b","b1","b2","b3","b4","b5","b6","b7","c","c1","c2","c3","c4","c5","d","d1","d2","d3","d4","d5","e","e1","e2","f","f1","f2","f3","f4","f5","f6","score","g","g1","g2","g3","g4","g5","g6","g7","g8","total_score","classification","gdp","continent","pop_density","corridors_city_length","population","bus_split","pop_density_2017","peak_load_2017","speed_ITDP_2017","speed_BRTData_2017","demand_BRTData_2017","corridor_length_BRTData_2017","metro_length","net_score","id","x_a","x_b","x_c","x_d","x_e","x_f","x_g","productivity","demand","system_length","speed","year_system_commenced","peak_frequency","peak_load_pax"
"Los Angeles","Orange line","(no BRT system name)","United States","USA","Los Angeles, CA",2013,23,75.8,100,100,85.7,83.3,0,54.2,0,0,100,0,100,100,0,64.3,100,100,0,0,100,50,0,33.3,100,100,0,100,100,100,57.1,100,0,33.3,100,100,0,65,0,0,0,0,0,0,100,100,0,65,"Bronze",54630,"Northern America",1017,22.9,3792621,23,"","",">20","","",NA,59.3,65,84,75.8,54.2,64.3,50,100,57.1,0,1441,33000,22.9,32,2005,15,NA
"Medellin","(no corridor name)","Metropl�s","Colombia","Colombia","Medellin",2013,12.5,97,100,100,100,83.3,100,70.8,0,0,100,100,100,100,100,92.9,75,100,100,100,100,100,100,100,100,100,100,100,100,100,57.1,100,100,66.7,0,0,0,85,0,0,0,0,0,0,100,100,0,85,"Gold",7904,"Latin America",5840,18,2223078,51,"","",">20","","",NA,28.8,85,85,97,70.8,92.9,100,100,57.1,0,3333.3,60000,18,16,2011,40,2450
"Mexico City","L3 Pantitl�n-Chimalhuacan","Mexibus","Mexico","Mexico","Mexico City",2014,14.5,97.4,100,100,100,85.7,100,57.9,0,100,33.3,100,100,100,0,85.7,100,66.7,100,50,100,90,100,100,100,100,0,80,100,50,35.7,66.7,0,66.7,0,50,0,78,-13.3,0,0,-20,0,-100,0,0,0,72,"Silver",10326,"Latin America",5871,105,8851080,77.9,NA,"5000",">20","18.55","155000",17,180,72,19,98.46,60.06,74.03,85.92,88.16,53.21,-7.87,8520,1065000,125,NA,2005,77,12000
"Mexico City","L5 R�o de los Remedios - San Lazaro","Metrobus","Mexico","Mexico","Mexico City",2014,10,100,100,100,100,100,100,63.2,0,0,100,100,100,100,100,57.1,0,66.7,100,50,100,80,100,100,100,0,0,100,100,100,78.6,100,66.7,100,50,100,0,82,0,0,0,0,0,0,0,0,0,82,"Silver",10326,"Latin America",5871,105,8851080,77.9,NA,"5400",">20","18","70000",10,180,82,18,98.46,60.06,74.03,85.92,88.16,53.21,-7.87,8520,1065000,125,NA,2005,77,12000
"Mexico City","Line 1","Metrobus","Mexico","Mexico","Mexico City",2013,28.1,97,100,100,100,83.3,100,83.3,100,0,66.7,100,100,100,100,50,0,0,100,100,100,80,100,100,100,0,0,80,100,50,35.7,66.7,33.3,66.7,0,0,0,76,-8.3,0,0,0,0,-100,100,100,0,73,"Silver",10326,"Latin America",5871,105,8851080,77.9,"","",">20","","",NA,180,73,86,85.95,78.58,58.77,77.8,80,43.38,-6.42,8520,1065000,125,NA,2005,77,12000
"Mexico City","Line 1","Mexibus","Mexico","Mexico","Mexico City",2013,16,100,100,100,100,100,100,87.5,100,100,33.3,100,100,100,50,85.7,100,66.7,100,100,50,100,100,100,100,200,0,80,100,50,21.4,33.3,33.3,33.3,0,0,0,83,0,0,0,0,0,0,100,100,0,83,"Silver",10326,"Latin America",5871,105,8851080,77.9,"","",">20","","",NA,180,83,89,85.95,78.58,58.77,77.8,80,43.38,-6.42,8520,1065000,125,NA,2005,77,12000
"Mexico City","Line 2","Metrobus","Mexico","Mexico","Mexico City",2013,20,87.9,100,71.4,100,66.7,100,83.3,100,0,66.7,100,100,100,100,57.1,0,33.3,100,100,100,80,100,100,100,0,0,80,100,50,42.9,66.7,66.7,66.7,0,0,0,75,0,0,0,0,0,0,100,100,0,75,"Silver",10326,"Latin America",5871,105,8851080,77.9,"","",">20","","",NA,180,75,90,85.95,78.58,58.77,77.8,80,43.38,-6.42,8520,1065000,125,NA,2005,77,12000
"Mexico City","Line 3","Metrobus","Mexico","Mexico","Mexico City",2013,17,93.9,100,100,100,66.7,100,83.3,100,0,66.7,100,100,100,100,64.3,0,66.7,100,100,100,80,100,100,100,0,0,80,100,50,42.9,66.7,66.7,66.7,0,0,0,78,0,0,0,0,0,0,100,100,0,78,"Silver",10326,"Latin America",5871,105,8851080,77.9,"","",">20","","",NA,180,78,87,85.95,78.58,58.77,77.8,80,43.38,-6.42,8520,1065000,125,NA,2005,77,12000
"Mexico City","Line 4","Metrobus","Mexico","Mexico","Mexico City",2013,28,60.6,85.7,71.4,0,50,100,62.5,100,0,66.7,0,0,100,100,50,0,100,66.7,0,100,60,100,33.3,100,0,0,80,100,50,64.3,100,33.3,100,50,0,100,61,-16.7,-60,0,0,0,0,100,100,0,55,"Bronze",10326,"Latin America",5871,105,8851080,77.9,"","","13-16","","",NA,180,55,88,85.95,78.58,58.77,77.8,80,43.38,-6.42,8520,1065000,125,NA,2005,77,12000
"Monterrey","Lincoln-Ruiz Cortines","Ecovia","Mexico","Mexico","Monterrey",2014,30,97.4,100,100,100,85.7,100,57.9,0,0,66.7,100,100,100,100,57.1,0,33.3,100,100,100,90,100,100,100,0,100,80,100,50,42.9,66.7,66.7,33.3,50,0,0,75,0,0,0,0,0,0,0,0,0,75,"Silver",10326,"Latin America",553.1,30.1,1135550,54.5,"553.1",NA,">20",NA,NA,30.1,31.5,75,20,97.4,57.9,57.1,90,80,42.9,0,NA,NA,30.1,NA,2014,NA,NA
NA,"Abd. Jabaquara","(no BRT system Name)","Brazil","Brazil","S�o Paulo",2013,5,60.6,100,100,14.3,83.3,0,83.3,100,0,100,100,100,100,100,50,0,66.7,100,0,100,60,100,33.3,100,0,0,40,66.7,0,35.7,33.3,33.3,100,0,0,0,60,0,0,0,0,0,0,100,50,0,60,"Bronze",11384,"Latin America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,60,101,60.6,83.3,50,60,40,35.7,0,NA,NA,NA,NA,NA,NA,NA
NA,"Expresso Tiradentes","(no BRT system Name)","Brazil","Brazil","S�o Paulo",2013,8,100,100,100,100,100,100,87.5,100,0,100,100,100,100,100,57.1,0,66.7,100,50,100,70,0,100,100,100,0,100,100,100,42.9,66.7,33.3,100,0,0,0,80,0,0,0,0,0,0,100,100,0,80,"Silver",11384,"Latin America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,80,102,100,87.5,57.1,70,100,42.9,0,NA,NA,NA,NA,NA,NA,NA
NA,"TVM (Antony-La Croix de Berny - Saint-Maur-Cr�teil","Trans-Val-de-Marne (TVM)","France","France","�le-de-France (Greater Paris)",2014,16.2,73.7,100,100,87.5,71.4,0,73.7,100,0,100,0,100,100,100,57.1,0,100,100,0,100,80,100,66.7,100,100,0,80,66.7,100,64.3,66.7,100,100,0,50,0,71,0,0,0,0,0,0,0,0,0,71,"Silver",42733,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,71,47,73.7,73.7,57.1,80,80,64.3,0,NA,NA,NA,NA,NA,NA,NA
"Nantes","Line 4","Nantes Busway","France","France","Nantes",2013,7,84.8,100,100,85.7,66.7,66.7,62.5,0,0,100,100,100,100,0,21.4,0,66.7,33.3,0,0,70,100,66.7,100,0,0,100,100,100,78.6,100,100,100,50,0,100,69,0,0,0,0,0,0,100,100,0,69,"Bronze",42733,"Europe",264.4,6.9,284970,16,"","",">20","","",NA,0,69,91,84.8,62.5,21.4,70,100,78.6,0,3623.2,25000,6.9,21,2006,17,2000
"Ottawa","(All corridors)","Transitway","Canada","Canada","Ottawa, ON",2013,30,60.6,100,100,0,100,0,70.8,100,66.7,66.7,100,0,100,100,78.6,100,100,100,0,50,70,0,100,100,100,0,80,100,50,35.7,33.3,33.3,100,0,0,0,64,0,0,0,0,0,0,66.7,50,0,64,"Bronze",50235,"Northern America",209.6,35.4,951727,19,"","",">20","","",NA,0,64,92,60.6,70.8,78.6,70,80,35.7,0,6214.7,220000,35.4,45,1983,180,10500
"Perira","(no corridor name)","Megab�s","Colombia","Colombia","Perira",2013,19.15,100,100,100,100,100,100,79.2,100,0,66.7,100,100,100,50,50,0,0,100,100,100,90,100,100,100,0,100,80,100,50,35.7,100,0,66.7,0,0,0,77,0,0,0,0,0,0,100,100,0,77,"Silver",7904,"Latin America",828.1,29.2,469644,46,"","",">20","","",NA,0,77,93,100,79.2,50,90,80,35.7,0,6193.5,96000,15.5,20,2006,42,6900
"Pittsburgh","Martin Luther King Jr. East Busway","(no BRT system name)","United States","USA","Pittsburgh, PA",2013,14.6,60.6,100,100,0,100,0,54.2,100,66.7,0,100,0,100,50,78.6,100,66.7,100,0,100,50,0,33.3,100,100,0,0,0,0,50,66.7,66.7,66.7,50,0,0,56,0,0,0,0,0,0,66.7,0,0,56,"Bronze",54630,"Northern America",467.9,31,306211,6,"","",">20","","",NA,4.8,56,96,60.6,51.09,74.94,60.17,0,31.85,0,1350.4,41861,31,47.2,1977,30,5000
"Pittsburgh","South Busway","(no BRT system name)","United States","USA","Pittsburgh, PA",2013,6.9,60.6,100,100,0,100,0,45.8,100,66.7,0,100,0,100,50,71.4,100,33.3,100,0,100,70,100,33.3,100,100,0,0,0,0,14.3,33.3,0,33.3,0,0,0,50,0,0,0,0,0,0,0,0,0,50,"Basic",54630,"Northern America",467.9,31,306211,6,"","",">20","","",NA,4.8,50,94,60.6,51.09,74.94,60.17,0,31.85,0,1350.4,41861,31,47.2,1977,30,5000
"Pittsburgh","West Busway","(no BRT system name)","United States","USA","Pittsburgh, PA",2013,8.2,60.6,100,100,0,100,0,50,100,66.7,0,100,0,100,50,71.4,100,33.3,100,0,100,70,100,33.3,100,100,0,0,0,0,14.3,33.3,0,33.3,0,0,0,51,0,0,0,0,0,0,33.3,0,0,51,"Basic",54630,"Northern America",467.9,31,306211,6,"","",">20","","",NA,4.8,51,95,60.6,51.09,74.94,60.17,0,31.85,0,1350.4,41861,31,47.2,1977,30,5000
"Puebla","Chachapa -Tlaxcalancingo","RUTA","Mexico","Mexico","Puebla",2014,18.5,97.4,100,100,100,85.7,100,47.4,0,0,33.3,100,100,50,100,64.3,0,66.7,100,100,100,80,100,100,100,0,0,80,100,50,42.9,66.7,100,33.3,0,0,0,73,-8.9,0,0,0,0,0,0,0,-40,69,"Bronze",10326,"Latin America",76.6,32.3,1539819,40.6,NA,NA,NA,NA,NA,NA,0,69,21,97.4,47.4,64.3,80,80,42.9,-8.9,7792.7,251704,32.3,NA,2013,NA,NA
"Quito","Corredor sur occidental","Metrobus","Ecuador","Ecuador","Quito",2014,13.4,84.2,62.5,87.5,87.5,85.7,100,73.7,100,0,33.3,100,100,100,100,50,25,0,66.7,100,100,50,100,66.7,0,100,0,20,0,50,57.1,100,100,66.7,0,0,0,67,-11.1,-10,0,0,0,0,0,0,-40,62,"Bronze",6346,"Latin America",439.8,69.3,1619791,62,"439.8","9300",">20","18","220000",14,0,62,22,83.02,68.94,59.7,63.59,47.18,57.1,-13.14,12021.6,833095,69.3,17.8,1995,140,11700
"Quito","Corredor sur oriental","Metrobus","Ecuador","Ecuador","Quito",2014,11.1,81.6,75,62.5,87.5,85.7,100,63.2,25,33.3,33.3,100,100,100,100,71.4,25,66.7,100,100,100,80,100,66.7,100,100,0,80,100,50,57.1,100,100,66.7,0,0,0,73,-15.6,-10,0,0,0,-60,0,0,-30,66,"Bronze",6346,"Latin America",439.8,69.3,1619791,62,"439.8","3050",">20","18","79940",12.1,0,66,23,83.02,68.94,59.7,63.59,47.18,57.1,-13.14,12021.6,833095,69.3,17.8,1995,140,11700
"Quito","Trolebus, Central-Norte and Ecovia","Metrobus-Q","Ecuador","Ecuador","Quito",2013,40.9,87.9,100,57.1,100,83.3,100,100,100,100,100,100,100,100,100,50,0,100,100,50,0,90,100,100,100,0,100,60,66.7,50,42.9,100,33.3,66.7,0,0,0,78,-11.1,0,0,-20,0,-100,100,100,0,74,"Silver",6346,"Latin America",439.8,69.3,1619791,62,"","",">20","","",NA,0,74,97,87.9,100,50,90,60,42.9,-11.1,12021.6,833095,69.3,17.8,1995,140,11700
"Rio de Janeiro","Transcarioca","(no BRT system name)","Brazil","Brazil","Rio de Janeiro",2014,39,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92.9,100,66.7,100,100,100,90,100,66.7,100,100,100,60,100,0,50,100,66.7,66.7,0,0,0,89,-6.7,0,0,-20,-40,0,0,0,0,86,"Gold",11384,"Latin America",2208.8,141,6476631,48.7,NA,"11000",">20",NA,"230000",39,42,86,24,100,100,88.7,84.16,71.68,54.14,-18.38,22375.7,3132600,140,21.8,2011,600,65400
"Rio de Janeiro","TransOeste","(no BRT system name)","Brazil","Brazil","Rio de Janeiro",2013,54.7,100,100,100,100,100,100,95.8,100,100,66.7,100,100,100,100,85.7,100,66.7,100,100,50,100,100,100,100,100,100,80,100,50,57.1,100,33.3,66.7,50,50,0,90,-5.6,0,0,0,-20,0,100,100,-12.5,88,"Gold",11384,"Latin America",2208.8,141,6476631,48.7,"","",">20","","",NA,42,88,99,100,95.8,85.7,100,80,57.1,-5.6,22375.7,3132600,140,21.8,2011,600,65400
"Rio de Janeiro","TransOeste","(no BRT system name)","Brazil","Brazil","Rio de Janeiro",2013,54.7,100,100,100,100,100,100,95.8,100,100,66.7,100,100,100,100,85.7,100,66.7,100,100,50,100,100,100,100,100,100,80,100,50,57.1,100,33.3,66.7,50,50,0,90,-5.6,0,0,0,-20,0,100,100,-12.5,88,"Gold",11384,"Latin America",2208.8,141,6476631,48.7,"2,208.80","13,000",">20","Express service: 50.1 and Local service: 29.2","220,000",58,42,88,98,100,95.8,85.7,100,80,57.1,-5.6,22375.7,3132600,140,21.8,2011,600,65400
"Rio de Janeiro","Transoeste","(no BRT system name)","Brazil","Brazil","Rio de Janeiro",2014,54.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85.7,100,66.7,100,100,50,80,100,66.7,100,100,0,80,100,50,57.1,100,66.7,33.3,50,50,0,89,-26.7,0,0,0,-60,-100,0,0,-40,77,"Silver",11384,"Latin America",2208.8,141,6476631,48.7,NA,NA,NA,NA,NA,NA,42,77,25,100,100,88.7,84.16,71.68,54.14,-18.38,22375.7,3132600,140,21.8,2011,600,65400
"Rouen","(All Corridors)","TEOR (Transport Est-Ouest Rouennais)","France","France","Rouen",2013,13,97,100,100,85.7,100,100,70.8,100,0,100,100,100,NA,0,14.3,0,0,66.7,0,0,80,100,66.7,100,100,0,80,66.7,100,78.6,100,100,100,50,50,0,74,-2.8,0,0,-20,0,0,100,100,0,73,"Silver",42733,"Europe",275.8,43.6,110933,10,"","",">20","","",NA,2.2,73,100,97,70.8,14.3,80,80,78.6,-2.8,1350.5,42000,31.1,17.5,2001,30,NA
"San Bernardino","E Street","sbX","United States","USA","San Bernardino, CA",2014,8.3,84.2,100,100,87.5,28.6,100,42.1,0,0,100,100,100,0,0,64.3,0,100,100,100,50,50,0,66.7,100,0,0,100,100,100,50,100,0,100,50,0,0,66,-6.7,0,0,0,0,0,-100,0,0,63,"Bronze",54630,"Northern America",59.5,25.7,2101053,6.6,"59.5",NA,">20",NA,NA,NA,0,63,26,84.2,42.1,64.3,50,100,50,-6.7,NA,NA,25.7,NA,2014,6,NA
"Santiago","Avenida Grecia","Transantiago","Chile","Chile","Santiago",2014,10,55.3,87.5,100,0,85.7,0,73.7,100,0,100,100,100,100,0,50,100,0,100,0,0,70,100,33.3,100,100,0,40,66.7,0,35.7,33.3,66.7,66.7,0,0,0,56,0,0,0,0,0,0,0,0,0,56,"Bronze",14528,"Latin America",448,91.8,5879000,35,"446.9","4400",">20","21.5","59000",10,102.4,56,27,56.87,73.7,50,70,40,35.7,0,3710.4,340800,91.85,26.2,2006,185,13500
"Santiago","Avenidas Las Industrias, Pedro Aguirre Cerda and Santa Rosa","Transantiago","Chile","Chile","Santiago",2014,15.2,57.9,100,100,0,85.7,0,73.7,100,0,100,100,100,100,0,50,100,0,100,0,0,70,100,33.3,100,100,0,40,66.7,0,35.7,33.3,66.7,66.7,0,0,0,57,0,0,0,0,0,0,0,0,0,57,"Bronze",14528,"Latin America",448,91.8,5879000,35,"446.9",NA,">20",NA,NA,NA,102.4,57,28,56.87,73.7,50,70,40,35.7,0,3710.4,340800,91.85,26.2,2006,185,13500
"Seattle","Downtown Seattle Transit Tunnel/SODO Busway","Metro","United States","USA","Seattle",2014,5.3,60.5,100,100,0,100,0,89.5,100,100,100,100,100,100,0,57.1,0,100,100,0,100,45,100,50,0,100,0,20,0,50,50,50,100,50,0,50,0,60.5,-11.1,0,0,0,0,0,-100,-100,0,55.5,"Bronze",54630,"Northern America",NA,NA,NA,NA,NA,NA,">20",NA,NA,NA,22.2,55.5,29,60.5,89.5,57.1,45,20,50,-11.1,NA,NA,NA,NA,NA,NA,NA
"Seoul","Cheonho-Daero - East","(no system name)","South Korea","South Korea","Seoul",2014,9.2,52.6,62.5,100,0,100,0,89.5,100,66.7,66.7,100,100,100,100,57.1,0,100,100,0,100,40,100,33.3,0,100,0,40,0,100,57.1,66.7,100,100,0,0,0,59,-13.3,-60,0,0,0,0,0,0,0,53,"Basic",NA,"Asia",2176,43,10442426,NA,NA,NA,NA,NA,NA,NA,326.5,53,30,56.76,80.32,57.1,40,40,48.94,-13.3,9302.3,4e+05,43,17,2004,NA,8400
"Seoul","Cheonho-Daero - West","(no system name)","South Korea","South Korea","Seoul",2014,5.4,57.9,100,100,0,85.7,0,78.9,100,0,66.7,100,100,100,100,57.1,0,100,100,0,100,40,100,33.3,0,100,0,40,0,100,42.9,0,100,100,0,0,0,57,-13.3,-60,0,0,0,0,0,0,0,51,"Basic",NA,"Asia",2176,43,10442426,NA,NA,NA,NA,NA,NA,NA,326.5,51,31,56.76,80.32,57.1,40,40,48.94,-13.3,9302.3,4e+05,43,17,2004,NA,8400
"Seoul","Dongsomun-ro/Dobong-ro","(no system name)","South Korea","South Korea","Seoul",2014,14.3,57.9,100,100,0,85.7,0,78.9,100,0,66.7,100,100,100,100,57.1,0,100,100,0,100,40,100,33.3,0,100,0,40,0,100,42.9,0,100,100,0,0,0,57,-13.3,-60,0,0,0,0,0,0,0,51,"Basic",NA,"Asia",2176,43,10442426,NA,NA,NA,NA,NA,NA,NA,326.5,51,36,56.76,80.32,57.1,40,40,48.94,-13.3,9302.3,4e+05,43,17,2004,NA,8400
"Seoul","Gangnam-Daero","(no system name)","South Korea","South Korea","Seoul",2014,4.7,57.9,100,100,0,85.7,0,78.9,100,0,66.7,100,100,100,100,57.1,0,100,100,0,100,40,100,33.3,0,100,0,40,0,100,42.9,0,100,100,0,0,0,57,-13.3,-60,0,0,0,0,0,0,0,51,"Basic",NA,"Asia",2176,43,10442426,NA,NA,NA,NA,NA,NA,NA,326.5,51,34,56.76,80.32,57.1,40,40,48.94,-13.3,9302.3,4e+05,43,17,2004,NA,8400
"Seoul","Gyeongin-ro","(no system name)","South Korea","South Korea","Seoul",2014,5.6,52.6,87.5,87.5,0,85.7,0,78.9,100,0,66.7,100,100,100,100,57.1,0,100,100,0,100,40,100,33.3,0,100,0,40,0,100,42.9,0,100,100,0,0,0,55,-13.3,-60,0,0,0,0,0,0,0,49,"Basic",NA,"Asia",2176,43,10442426,NA,NA,NA,NA,NA,NA,NA,326.5,49,32,56.76,80.32,57.1,40,40,48.94,-13.3,9302.3,4e+05,43,17,2004,NA,8400
"Seoul","Susack BRT","(no system name)","South Korea","South Korea","Seoul",2014,20,57.9,100,100,0,85.7,0,78.9,100,0,66.7,100,100,100,100,57.1,0,100,100,0,100,40,100,33.3,0,100,0,40,0,100,57.1,66.7,100,100,0,0,0,59,-13.3,-60,0,0,0,0,0,0,0,53,"Basic",NA,"Asia",2176,43,10442426,NA,NA,NA,NA,NA,NA,NA,326.5,53,33,56.76,80.32,57.1,40,40,48.94,-13.3,9302.3,4e+05,43,17,2004,NA,8400
"Seoul","Yeouidaebang-ro/Siheung-daero","(no system name)","South Korea","South Korea","Seoul",2014,9.5,57.9,100,100,0,85.7,0,78.9,100,0,66.7,100,100,100,100,57.1,0,100,100,0,100,40,100,33.3,0,100,0,40,0,100,42.9,0,100,100,0,0,0,57,-13.3,-60,0,0,0,0,0,0,0,51,"Basic",NA,"Asia",2176,43,10442426,NA,NA,NA,NA,NA,NA,NA,326.5,51,35,56.76,80.32,57.1,40,40,48.94,-13.3,9302.3,4e+05,43,17,2004,NA,8400
"Surat","Udhna - Sachin GIDC","Sitilink","India","India","Surat",2014,10,92.1,87.5,100,100,71.4,100,26.3,0,0,33.3,100,0,50,50,71.4,100,0,66.7,100,100,70,100,100,0,100,100,100,100,100,28.6,66.7,0,33.3,0,50,0,66,-17.8,0,-100,-20,0,0,-66.7,0,0,58,"Bronze",1582,"Asia",1089.9,10,4462002,13,NA,NA,">20",NA,"13500",10,0,58,37,92.1,26.3,71.4,70,100,28.6,-17.8,1350,13500,10,NA,2014,6,NA
"Urumqi","Corridor 1 (Beijinglu-Xibeilu-Yangzijianglu)","Urumuqi BRT","China","China","Urumuqi",2014,15.5,81.6,100,100,100,0,100,84.2,100,0,100,100,100,100,100,28.6,0,0,0,100,100,100,100,100,100,100,100,100,100,100,28.6,0,100,33.3,0,0,0,70,-22.2,-100,0,0,0,0,0,0,0,60,"Bronze",7590,"Asia",263,NA,2518000,NA,"263",NA,"<13",NA,NA,16.4,0,60,38,81.6,84.2,28.6,100,100,28.6,-22.2,9452.7,380000,40.2,13,2011,87,6950
"Xiamen","","Xiamen BRT","China","China","Xiamen",2014,51,100,100,100,100,100,100,78.9,100,66.7,100,100,0,100,100,50,0,33.3,100,50,100,80,0,100,100,100,100,100,100,100,28.6,0,100,33.3,0,0,0,77,-6.7,0,0,0,0,-60,0,0,0,74,"Silver",7590,"Asia",1213.7,48.9,1909000,NA,NA,NA,NA,NA,NA,NA,0,74,39,100,78.9,50,80,100,28.6,-6.7,6953,340000,48.9,27,2008,104,8360
"Yancheng","Kaifang Dadao - Jiefang Nanlu","Yancheng BRT","China","China","Yancheng",2014,16,81.6,100,100,100,0,100,47.4,100,0,100,0,0,100,0,21.4,0,0,0,50,100,90,100,100,100,0,100,60,66.7,50,21.4,0,66.7,33.3,0,0,0,58,-6.7,-30,0,0,0,0,0,0,0,55,"Bronze",7590,"Asia",895.8,16,760000,NA,"895.8","1300","16-19","18","33000",16,0,55,40,81.6,47.4,21.4,90,60,21.4,-6.7,2062.5,33000,16,18,2010,30,1300
"Yinchuan","Huanghe East-Nanxun-Qinghe","Yinchuan BRT","China","China","Yinchuan",2014,17,76.3,100,100,100,0,71.4,57.9,100,0,100,100,0,100,0,28.6,0,33.3,0,50,100,100,100,100,100,100,100,60,33.3,100,35.7,0,100,33.3,0,50,0,62,-13.3,-60,0,0,0,0,0,0,0,56,"Bronze",7590,"Asia",433.7,17,1130000,NA,"433.7","3600","13-16","15","87000",17,0,56,41,76.3,57.9,28.6,100,60,35.7,-13.3,5117.6,87000,17,15,2012,63,3600
"Zaozhuang","B1","Zaozhuang BRT","China","China","Zaozhuang",2014,33.5,65.8,100,62.5,62.5,0,100,84.2,100,100,100,100,0,100,100,21.4,0,0,0,50,100,70,0,100,100,100,0,80,100,50,35.7,0,66.7,66.7,0,50,0,60,-6.7,0,0,0,0,0,-100,0,0,57,"Bronze",7590,"Asia",735.6,33,2258000,NA,"735.6","700",">20","30","30000",33,0,57,42,75.31,55.66,21.4,76.02,80,32.98,-13.38,909.1,30000,33,30,2010,27,700
"Zaozhuang","B3","Zaozhuang BRT","China","China","Zaozhuang",2014,32.2,81.6,100,100,100,0,100,36.8,0,0,100,0,0,100,100,21.4,0,0,0,50,100,80,0,100,100,100,100,80,100,50,28.6,0,66.7,66.7,0,0,0,57,-17.8,0,-100,0,0,0,-100,0,0,49,"Basic",7590,"Asia",735.6,33,2258000,NA,NA,NA,">20",NA,NA,NA,0,49,43,75.31,55.66,21.4,76.02,80,32.98,-13.38,909.1,30000,33,30,2010,27,700
"Zaozhuang","B5","Zaozhuang BRT","China","China","Zaozhuang",2014,18.5,81.6,100,100,100,0,100,36.8,0,0,100,0,0,100,100,21.4,0,0,0,50,100,80,0,100,100,100,100,80,100,50,35.7,0,66.7,66.7,0,50,0,58,-17.8,0,-100,0,0,0,-100,0,0,50,"Basic",7590,"Asia",735.6,33,2258000,NA,NA,NA,">20",NA,NA,NA,0,50,44,75.31,55.66,21.4,76.02,80,32.98,-13.38,909.1,30000,33,30,2010,27,700
"Zhengzhou","(no corridor name)","Zhengzhou BRT","China","China","Zhengzhou",2014,30.5,81.6,100,100,100,0,100,57.9,100,0,100,100,0,100,0,21.4,0,0,0,50,100,100,100,100,100,100,100,100,100,100,35.7,0,100,33.3,0,50,0,65,-13.3,-60,0,0,0,0,0,0,0,59,"Bronze",7590,"Asia",5813.9,30.5,5872000,NA,NA,"5600","13-16","18.36","650000",30.5,25.4,59,45,81.6,57.9,21.4,100,100,35.7,-13.3,21311.5,650000,30.5,15,2009,52,5600
"Zhongshan","Zhongshan 2nd-5th Rd - Jiangling Rd","Zhongshan BRT","China","China","Zhongshan",2014,13,81.6,100,100,100,0,100,57.9,100,0,100,100,0,100,0,35.7,0,33.3,0,100,100,80,0,100,100,100,100,100,100,100,50,33.3,100,100,0,0,0,67,-11.1,0,-100,0,0,0,0,0,0,62,"Bronze",7590,"Asia",NA,NA,NA,NA,NA,NA,">20",NA,NA,NA,0,62,46,81.6,57.9,35.7,80,100,50,-11.1,NA,NA,NA,NA,NA,NA,NA
