"REGION","COUNTRY","CITY","CORRIDOR","CORRIDOR_LENGTH_KM","DAILY_DEMAND_CORRIDOR_PASSENGERS_PER_DAY","GRADE_SEPARATED_INTERSECTIONS_CORRIDOR","LENGTH_OF_EXCLUSIVE_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_COUNTERFLOW_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_LANES_CORRIDOR_KM","OPERATING_SPEED_CORRIDOR","PEAK_FREQUENCY_CORRIDOR_BUSES_PER_HOUR_PER_DIRECTION","PEAK_LOAD_CORRIDOR_PASSENGERS_PER_HOUR_PER_DIRECTION","PHYSICALLY_INTEGRATED_FEEDERS","PRE_BOARD_FARE_COLLECTION_CORRIDOR","STATION_SPACING_CORRIDOR_M","TOTAL_COST_PER_KILOMETER_CORRIDOR_US_MILLION_PER_KM","YEAR_CORRIDOR_COMMENCED"
"Latin America","Brazil","Blumenau","Rua 2 de Setembro","2013, One direction","",NA,"","","","2012",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Blumenau","Rua 7 de Setembro","2013, One direction","",NA,"","","","2012",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Blumenau","Rua das Palmeiras","2013, One direction","",NA,"","","","2012",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Blumenau","Rua Eng Paul Werner","2013, One direction","",NA,"","","","2012",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Blumenau","Rua São Paulo - Antônio da Veiga (Castelo Branco)","2013, One direction","",NA,"","","","2012",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Blumenau","Rua São Paulo - Iguaçu (Henrique Classen)","2013, One direction","",NA,"","","","2012",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Brasília","Estrada Parque Núcleo Bandeirante","2013","2013",NA,"","","2013","",NA,"",NA,NA,2012,"",""
"Latin America","Brazil","Brasília","Estrada Parque Taguatinga-Guará","2013","2013",NA,"","","2013","",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Brasília","Expresso DF Sul","2014","2015",2014,"2014","","","2014",NA,"",2014,2014,2014,"",""
"Latin America","Brazil","Brasília","Setor Policial","2013","",NA,"","","2013","",NA,"",NA,NA,2013,"",""
"Latin America","Brazil","Brasília","W3 Norte","2013","",NA,"","","2013","",NA,"",NA,NA,2012,"",""
"Latin America","Brazil","Brasília","W3 Sul","2013","",NA,"","","2013","",NA,"",NA,NA,2012,"",""
"Latin America","Brazil","Campinas","Av. Amoreiras","","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Campinas","Av. João Jorge","","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Campinas","Corredor Central","","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Campo Grande","Av. Calógeras","2012, One direction","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Campo Grande","Duque de Caxias","2012","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Campo Grande","Rua 26 de Agosto","2012, One direction","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Campo Grande","Rui Barbosa","2013, One direction","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Caxias do Sul","18 do Forte","2013, One direction","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Caxias do Sul","Bento","2013, One direction","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Caxias do Sul","Marechal Floriano","2013, One direction","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Caxias do Sul","Moreira Cesar - Centro Bairro","2013, One direction","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Caxias do Sul","Pinheiro Machado","2013, One direction","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Caxias do Sul","Pio 12 - Moreira","2013, One direction","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Caxias do Sul","Sinimbu","2013, One direction","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Latin America","Brazil","Criciúma","Av. Centenário","","",NA,"","","","2012",2012,"",NA,NA,NA,"",""
"Latin America","Brazil","Curitiba","Boqueirão","2013","2013",NA,"","","2013","2012, Express services: 28 km/h",NA,"2013",NA,NA,NA,"","In 1991, the corridor received improvements and became to operate as a BRT"
"Latin America","Brazil","Curitiba","Leste","2013","2013",NA,"","","2013","2012",NA,"2013",NA,NA,NA,"","In 1991, the corridor received improvements and became to operate as a BRT"
"Latin America","Brazil","Curitiba","Linha Verde","2013","2013",NA,"","","2013","2012, Express services: 28 km/h",NA,"2013",NA,NA,NA,"",""
"Latin America","Brazil","Curitiba","Norte","2013","2013",NA,"","","2013","2012",NA,"2013",NA,NA,NA,"","In 1991, the corridor received improvements and became to operate as a BRT"
