"REGION","COUNTRY","CITY","ANNUAL_FARE_REVENUE_US_MILLIONS","DAILY_DEMAND_PASSENGERS_PER_DAY","GDP_PER_CAPITA_US","MODAL_SPLIT_PRIVATE_TRANSPORT","MODAL_SPLIT_PUBLIC_TRANSPORT","OPERATING_SPEED","PEAK_FREQUENCY_BUSES_PER_HOUR","PEAK_LOAD_PASSENGERS_PER_HOUR_PER_DIRECTION","POPULATION_DENSITY_METROPOLITAN_AREA","POPULATION_CITY","STANDARD_FARE_US","STATION_SPACING_M","SYSTEM_LENGTH_KM","SYSTEM_NAME","YEAR_SYSTEM_COMMENCED"
"Asia","India","Jaipur","Calculated using annual demand and fare","EMBARQ India","data.worldbank.org","cseindia.org","cseindia.org","Primary Survey, EMBARQ","Primary Survey,EMBARQ","Primary Survey, EMBARQ","City Development Plan for Jaipur","www.unhabitat.org","www.jaipurbus.com","Primary Survey, EMBARQ","","",""
"Asia","India","Pune - Primpi-Chinchwad","","www.itdp.org",NA,NA,NA,"","webcache.googleusercontent.com","webcache.googleusercontent.com",NA,NA,NA,"Calculated using system length and stations","rainbowbrtpune.wordpress.com",NA,NA
"Asia","India","Rajkot","","EMBARQ India","data.worldbank.org","cleanairinitiative.org","cleanairinitiative.org","","","","","censusindia.gov.in","","EMBARQ India","EMBARQ India","","EMBARQ India"
"Asia","India","Surat","Calculated using annual demand and fare","Integrated City Bus Services Surat at www.asiabrts.org","data.worldbank.org","cleanairinitiative.org","cleanairinitiative.org","","www.globalmasstransit.net","","www.census2011.co.in","censusindia.gov.in","timesofindia.indiatimes.com","Calculated using system length and stations","cept.ac.in","","www.embarq.org"
"Asia","Indonesia","Jakarta","Calculated using annual demand and fare","Yoga Adiwinarto, presentation","data.worldbank.org","www.ide.titech.ac.jp","www.ide.titech.ac.jp","www.embarq.org","www.chinabrt.org","www.embarq.org","","www.bps.go.id","www.worldbrt.net","Calculated using system length and stations","Transjakarta","","Transjakarta"
"Asia","Iran","Isfahan","","Division of Transportation - Isfahan Municipality  Division of Transportation - Isfahan Municipality  ",NA,"",NA,"","","",NA,NA,NA,"Calculated using system length and stations","Division of Transportation - Isfahan Municipality  Division of Transportation - Isfahan Municipality  ","",NA
"Asia","Iran","Tabriz","","","data.worldbank.org","","","","","","","Census of the Islamic Republic of Iran","","","www.globalmasstransit.net","","www.globalmasstransit.net"
"Asia","Iran","Tehran","Calculated using annual demand and fare","www.heraldboy.com","data.worldbank.org","","","Tehran bus","en.tehran.ir","","Census of the Islamic Republic of Iran","Census of the Islamic Republic of Iran","www.tastingtravels.com","Calculated using system length and stations","trafficorg.tehran.ir","","Tehran Bus"
"Asia","Israel","Haifa","Calculated using annual demand and fare","www.ynet.co.il","data.worldbank.org","www.eltis.org","www.eltis.org","Calculated using Red, Blue and Green Lines operating speed and their representativeness (length) in the system","www.dannorth.co.il","","en.wikipedia.org","www1.haifa.muni.il","www.dannorth.co.il","Calculated using system length and stations","www.jpost.com","en.wikipedia.org","www.brt.cl"
"Asia","Japan","Kesennuma - Tome","","","data.worldbank.org","","","","ja.wikipedia.org","","www.stat.go.jp","www.stat.go.jp","","Calculated using system length and stations","ja.wikipedia.org","","en.wikipedia.org"
