"city","country_BRTData","city_BRTData","continent","corridor","corridor_length","demand","separated_intersections","exclusive_lanes_length","segregated_counterflow_lanes_length","segregated_lanes_length","speed","peak_frequency","peak_load","integrated_feeders","offboard_payment","station_spacing","cost_per_km","year_corridor_commenced","country","population","pop_density","bus_split","car_split","bus_fare","gdp","year_system_commenced"
"Caen","France","Caen","Europe","Twisto TVR",15.7,48000,"",NA,NA,NA,20,10,NA,"",NA,NA,31.72,2002,"France",108954,221.1,NA,NA,1.6,42733,2002
"Cali","Colombia","Cali","Latin America","Avenida 3",3.24,NA,"None",0,0,3.24,NA,NA,NA,"Yes","All",540,NA,2010,"Colombia",2344703,327,48,17,0.59,7904,2008
"Cali","Colombia","Cali","Latin America","Carrera 1",7,NA,"None",0,0,7,NA,NA,NA,"Yes","All",1166.7,NA,2009,"Colombia",2344703,327,48,17,0.59,7904,2008
"Cali","Colombia","Cali","Latin America","Centro (Calle 13/Calle 15)",3.5,NA,"None",0,0,3.5,NA,NA,NA,"Yes","All",350,NA,2008,"Colombia",2344703,327,48,17,0.59,7904,2008
"Cali","Colombia","Cali","Latin America","Calle 5",9.7,NA,"None",0,0,9.7,NA,NA,NA,"Yes","All",746.2,NA,2008,"Colombia",2344703,327,48,17,0.59,7904,2008
"Cali","Colombia","Cali","Latin America","Carrera 15",6.9,NA,"None",0,0,6.9,NA,NA,NA,"Yes","All",985.7,NA,2008,"Colombia",2344703,327,48,17,0.59,7904,2008
"Cali","Colombia","Cali","Latin America","Aguablanca",5.73,NA,"None",0,0,5.73,NA,NA,NA,"Yes","All",818.6,NA,2011,"Colombia",2344703,327,48,17,0.59,7904,2008
"Cambridge","United Kingdom","Cambridge","Europe","The Busway",40,12000,"Partial",25,0,0,60,12,NA,"N/A","None",3125,NA,2011,"United Kingdom",128000,204,9,70,4.16,46332,2011
"Campinas","Brazil","Campinas","Latin America","Corredor Central",8.6,160000,"None",0,0,8.6,NA,NA,NA,"No","None",338.5,NA,2010,"Brazil",1164098,801.1,28.9,43.8,0.91,11384,1986
"Campinas","Brazil","Campinas","Latin America","Av. João Jorge",0.65,40000,"All",0,0,0.65,NA,122,NA,"No","None",650,NA,1986,"Brazil",1164098,801.1,28.9,43.8,0.91,11384,1986
"Campinas","Brazil","Campinas","Latin America","Av. Amoreiras",4.1,NA,"All",0,0,4.1,NA,NA,NA,"No","None",683.3,NA,1986,"Brazil",1164098,801.1,28.9,43.8,0.91,11384,1986
"Campo Grande","Brazil","Campo Grande","Latin America","Rui Barbosa",1,NA,"None",0,0,1,17.5,NA,NA,"No","Partial",NA,NA,1988,"Brazil",853622,97.2,39.6,43,0.78,11384,1987
"Campo Grande","Brazil","Campo Grande","Latin America","Duque de Caxias",4.4,73000,"None",0,0,4.4,18.7,NA,NA,"No","Partial",NA,NA,2011,"Brazil",853622,97.2,39.6,43,0.78,11384,1987
"Campo Grande","Brazil","Campo Grande","Latin America","Rua 26 de Agosto",0.72,NA,"None",0,0,0.72,17.5,NA,NA,"No","Partial",NA,NA,1989,"Brazil",853622,97.2,39.6,43,0.78,11384,1987
