"city","country_BRTData","city_BRTData","continent","corridor","corridor_length","demand","separated_intersections","exclusive_lanes_length","segregated_counterflow_lanes_length","segregated_lanes_length","speed","peak_frequency","peak_load","integrated_feeders","offboard_payment","station_spacing","cost_per_km","year_corridor_commenced","country","population","pop_density","bus_split","car_split","bus_fare","gdp","year_system_commenced"
"Porto Alegre","Brazil","Porto Alegre","Latin America","Av. Bento Gonçalves",8.55,60400,"None",0,0,8.55,19.7,129,16000,"No","None",950,NA,1990,"Brazil",1476867,408,43,28,0.84,11384,1977
"Porto Alegre","Brazil","Porto Alegre","Latin America","III Perimetral",11,29000,"Partial",0,0,11,21,NA,6400,"No","None",450,NA,2003,"Brazil",1476867,408,43,28,0.84,11384,1977
"Porto Alegre","Brazil","Porto Alegre","Latin America","Av. Farrapos",4,63400,"None",0,0,4,19.4,320,16800,"No","None",670,NA,1980,"Brazil",1476867,408,43,28,0.84,11384,1977
"Porto Alegre","Brazil","Porto Alegre","Latin America","Av. Azenha - Av. Bento",1.2,31100,"None",0,0,1.2,17,NA,7000,"No","None",600,NA,1981,"Brazil",1476867,408,43,28,0.84,11384,1977
"Porto Alegre","Brazil","Porto Alegre","Latin America","Av. Osvaldo Aranha - Av. Protásio Alves",9.4,87700,"Partial",0,0,9.4,19.3,160,11400,"No","None",850,NA,1982,"Brazil",1476867,408,43,28,0.84,11384,1977
"Porto Alegre","Brazil","Porto Alegre","Latin America","Av. Aureliano de Figueiredo Pinto - Av. Érico Veríssimo (Cascatinha)",2.5,7400,"None",0,0,2.5,23,76,1900,"No","None",300,NA,1980,"Brazil",1476867,408,43,28,0.84,11384,1977
"Porto Alegre","Brazil","Porto Alegre","Latin America","Av. Assis Brasil",4.4,66200,"Partial",0,0,4.4,19.1,350,16300,"No","None",500,NA,1981,"Brazil",1476867,408,43,28,0.84,11384,1977
"Porto Alegre","Brazil","Porto Alegre","Latin America","Av. Independência",1.2,8700,"None",0,1.2,0,NA,NA,600,"No","None",200,NA,NA,"Brazil",1476867,408,43,28,0.84,11384,1977
"Porto Alegre","Brazil","Porto Alegre","Latin America","Av. Cristovão Colombo",0.8,12900,"None",0,0.8,0,20,NA,1900,"No","None",267,NA,1977,"Brazil",1476867,408,43,28,0.84,11384,1977
"Porto Alegre","Brazil","Porto Alegre","Latin America","Av. Brasil",0.75,NA,"None",0,0,0.75,NA,NA,NA,"No","None",NA,NA,2014,"Brazil",1476867,408,43,28,0.84,11384,1977
"Prague","Czech Republic","Prague","Europe","Line 213",10.25,18000,"All",NA,NA,NA,21.8,10,NA,"N/A",NA,600,NA,1994,"Czech Republic",1268796,222.3,43,33,0.98,19530,1994
"Prato","Italy","Prato","Europe","Blu",9.61,NA,"None",0,4.16,0,18.9,9,NA,"","None",266.9,NA,2003,"Italy",184885,685.1,5,84,1.33,34906,2003
"Prato","Italy","Prato","Europe","Arancio",8.97,NA,"None",1.15,1.36,0,20.7,4,NA,"","None",332.2,NA,2014,"Italy",184885,685.1,5,84,1.33,34906,2003
"Prato","Italy","Prato","Europe","Rossa",5.52,NA,"None",0,2.88,0,18,6,NA,"","None",501.8,NA,2003,"Italy",184885,685.1,5,84,1.33,34906,2003
"Puebla","Mexico","Puebla","Latin America","Línea 2",13.8,180000,"None",NA,NA,13.8,NA,NA,NA,"","All",460,NA,2015,"Mexico",1539819,76.6,40.6,45,0.45,10326,2013
"Puebla","Mexico","Puebla","Latin America","Línea 1",18.5,71704,"None",0,0,18.5,25,20,NA,"No","All",513.9,NA,2013,"Mexico",1539819,76.6,40.6,45,0.45,10326,2013
"Quito","Ecuador","Quito","Latin America","Central Norte",14.7,150000,"Partial",0,0,14.7,20,20,7300,"No","All",700,NA,2005,"Ecuador",1619791,439.8,62,35,0.25,6346,1995
"Quito","Ecuador","Quito","Latin America","TroleBús",18.7,233375,"Partial",0,4.9,13.8,16.4,60,11700,"Yes","All",400,NA,1995,"Ecuador",1619791,439.8,62,35,0.25,6346,1995
"Quito","Ecuador","Quito","Latin America","Sur Oriental",12.1,79940,"Partial",0,0,12.1,18,40,3050,"Yes","None",355,NA,2010,"Ecuador",1619791,439.8,62,35,0.25,6346,1995
"Quito","Ecuador","Quito","Latin America","Ecovía (North Eastern Corridor)",9.8,149780,"Partial",0,0,9.8,16.5,30,6800,"Yes","All",650,NA,2002,"Ecuador",1619791,439.8,62,35,0.25,6346,1995
"Quito","Ecuador","Quito","Latin America","Sur Occidental",14,220000,"Partial",0,0,14,18,140,9300,"Yes",NA,700,NA,2012,"Ecuador",1619791,439.8,62,35,0.25,6346,1995
"Rajkot","India","Rajkot","Asia","",10.7,7500,"",0,0,10.7,NA,NA,NA,"",NA,600,NA,2012,"India",1286995,NA,13,38,NA,1582,2012
"Recife","Brazil","Recife","Latin America","Via Livre Norte-Sul",10,NA,"None",NA,NA,NA,NA,3,NA,"Yes","All",5000,NA,2013,"Brazil",1617183,1332.3,45.7,31.3,0.64,11384,1982
"Recife","Brazil","Recife","Latin America","Av. Sul",3.7,277620,"None",0,0,3.7,NA,185,NA,"Yes","None",925,NA,NA,"Brazil",1617183,1332.3,45.7,31.3,0.64,11384,1982
"Recife","Brazil","Recife","Latin America","Av. Conde do Boa Vista",1.65,423639,"None",0,0,1.65,NA,244,NA,"Yes","None",825,NA,2008,"Brazil",1617183,1332.3,45.7,31.3,0.64,11384,1982
"Recife","Brazil","Recife","Latin America","Via Livre Leste-Oeste",10,NA,"None",0,0,7.9,NA,12,NA,"Yes","All",1428.6,NA,1982,"Brazil",1617183,1332.3,45.7,31.3,0.64,11384,1982
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","BRS Rio Branco",1.3,307600,"None",0,0,1.3,18.5,NA,36900,"No","None",433.3,NA,2011,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","BRS Presidente Vargas",3,550000,"None",0,0,3,18.5,600,65400,"No","None",600,NA,2012,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","BRS Copacabana - Av. Nossa Senhora de Copacabana",4,240000,"None",0,0,4,24,320,14100,"No","None",571.4,NA,2011,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","BRS Botafogo - Voluntários",3.3,60000,"None",0,0,3.3,15.9,NA,NA,"No","None",235.7,NA,2014,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","BRS Carioca",4.1,450000,"None",0,0,4.1,NA,NA,NA,"No","None",372.7,NA,2013,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","BRS 24 de maio",2.7,160000,"None",0,0,2.7,NA,NA,NA,"No","None",337.5,NA,2013,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","BRS Marechal Rondon",4.2,290000,"None",0,0,4.2,NA,NA,NA,"No","None",280,NA,2014,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","BRS Estácio",3.2,45000,"None",0,0,3.2,NA,NA,NA,"No","None",457.1,NA,2013,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","BRS Antônio Carlos",1.3,261000,"None",0,0,1.3,18.5,NA,31300,"No","None",433.3,NA,2011,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","BRS Botafogo - São Clemente",3.5,54000,"None",0,0,3.5,14.8,NA,NA,"No","None",205.9,NA,2014,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","TransCarioca",39,234000,"Partial",0,0,39,NA,9,11000,"No","All",886.4,NA,2014,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","TransOeste",57,216000,"Partial",0,0,48,NA,45,13000,"No","All",1096.2,9.76,2012,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","BRS Copacabana - Rua Barata Ribeiro",3.5,240000,"None",0,0,3.5,18.5,NA,14100,"No","None",437.5,NA,2011,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","BRS Ipanema/Leblon - Rua Visconde de Pirajá (Rua Ataulfo de Paiva)",4,235000,"None",0,0,4,18.5,NA,11350,"No","None",666.7,NA,2011,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","BRS Ipanema/Leblon - Rua Prudente de Morais (General San Martin)",3.9,235000,"None",0,0,3.9,18.5,NA,11350,"No","None",557.1,NA,2011,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rio de Janeiro","Brazil","Rio de Janeiro","Latin America","BRS Tijuca",3,30000,"None",0,0,3,NA,NA,NA,"No","None",375,NA,2013,"Brazil",6476631,2208.8,48.7,19.5,0.98,11384,2011
"Rosario","Argentina","Rosario","Latin America","Córdoba",1.7,NA,"None",0,0,1.7,15,NA,NA,"No","None",283.3,NA,2012,"Argentina",909866,2116.1,34.3,36,0.6,12510,2012
"Rosario","Argentina","Rosario","Latin America","San Lorenzo - Laprida",3.2,NA,"None",0,0,3.2,15,NA,NA,"No","None",400,NA,2012,"Argentina",909866,2116.1,34.3,36,0.6,12510,2012
"Rosario","Argentina","Rosario","Latin America","Santa Fé - Maipú",4.7,NA,"None",0,0,4.7,15,NA,NA,"No","None",293.8,NA,2012,"Argentina",909866,2116.1,34.3,36,0.6,12510,2012
"Rouen","France","Rouen","Europe","T3",17.7,NA,"None",NA,NA,NA,NA,30,NA,"N/A","None",590,NA,2001,"France",110933,275.8,10,58,1.77,42733,2001
"Rouen","France","Rouen","Europe","T2",14.8,NA,"None",NA,NA,NA,NA,30,NA,"N/A","None",493.3,NA,2001,"France",110933,275.8,10,58,1.77,42733,2001
"Rouen","France","Rouen","Europe","T1",11.1,NA,"None",NA,NA,NA,NA,30,NA,"N/A","None",652.9,NA,2002,"France",110933,275.8,10,58,1.77,42733,2001
"Runcorn","United Kingdom","Runcorn","Europe","",19.3,NA,"",NA,NA,NA,31,6,NA,"","None",NA,NA,1971,"United Kingdom",61789,1589.3,16,75,3.08,46332,1971
"Saint-Nazaire","France","Saint-Nazaire","Europe","Hélyce",9,10000,"None",NA,NA,6,18.4,9,NA,"N/A","All",474,8.1,2012,"France",67097,202.6,NA,NA,1.22,42733,2012
"Salvador","Brazil","Salvador","Latin America","Av. Vasco da Gama",3,NA,"None",0,1.2,1.8,NA,187,NA,"No","None",1500,NA,1990,"Brazil",2921087,832.6,41.4,22.4,0.78,11384,2005
"Salvador","Brazil","Salvador","Latin America","Av. Mario Leal Ferreira (Bonoco)",2,NA,"None",0,0,2,NA,196,NA,"No","None",500,NA,1991,"Brazil",2921087,832.6,41.4,22.4,0.78,11384,2005
"Salvador","Brazil","Salvador","Latin America","Av. Tancredo Neves - Av. Luis Viana Filho (Paralela)",3.2,NA,"Partial",0,1.5,1.7,NA,224,NA,"No","None",177.8,NA,NA,"Brazil",2921087,832.6,41.4,22.4,0.78,11384,2005
"San Bernardino","United States","San Bernardino","Northern America","sbX",25.7,NA,"None",0,0,9.4,NA,6,NA,"","None",1606.3,7.459,2014,"United States",2101053,59.5,6.6,90,1.75,54630,2014
"San Diego","United States","San Diego","Northern America","UTC East Loop",4,NA,"None",NA,NA,NA,NA,NA,NA,"",NA,666.7,NA,2012,"United States",1338348,196.2,4.4,90,2.25,54630,2009
"San Diego","United States","San Diego","Northern America","UTC Transit Center – UCSD",10,NA,"None",NA,NA,NA,NA,NA,NA,"",NA,833.3,NA,2009,"United States",1338348,196.2,4.4,90,2.25,54630,2009
"Santiago","Chile","Santiago","Latin America","Vicuña Mackenna Norte",1.7,NA,"None",0,0,1.7,NA,NA,NA,"No","None",NA,NA,2010,"Chile",5879000,448,35,23,0.93,14528,2006
"Santiago","Chile","Santiago","Latin America","Dorsal",2.7,NA,"None",0,0,2.7,NA,NA,NA,"No","Partial",NA,NA,2010,"Chile",5879000,448,35,23,0.93,14528,2006
"Santiago","Chile","Santiago","Latin America","Avenida Grecia",10,59000,"None",0,0,10,21.5,80,4400,"No","Partial",500,NA,2008,"Chile",5879000,448,35,23,0.93,14528,2006
"Santiago","Chile","Santiago","Latin America","Blanco Encalada - Arica",1.7,NA,"None",0,0,1.7,NA,NA,NA,"No","None",NA,NA,2006,"Chile",5879000,448,35,23,0.93,14528,2006
"Santiago","Chile","Santiago","Latin America","Pajaritos Norte",8,72400,"None",0,0,8,NA,185,12700,"No","None",228.6,NA,2009,"Chile",5879000,448,35,23,0.93,14528,2006
"Santiago","Chile","Santiago","Latin America","Santa Rosa Sur",8.6,NA,"None",0,0,8.6,NA,NA,NA,"No","Partial",NA,NA,2010,"Chile",5879000,448,35,23,0.93,14528,2006
"Santiago","Chile","Santiago","Latin America","Vicuña Mackenna Sur",9.5,84500,"None",NA,0,9.5,26.6,87,5300,"No","Partial",395.8,NA,2009,"Chile",5879000,448,35,23,0.93,14528,2006
"Santiago","Chile","Santiago","Latin America","Pedro Aguirre Cerda",14.7,53500,"None",0,0,14.7,28.5,81,4500,"No","None",1336.4,NA,2008,"Chile",5879000,448,35,23,0.93,14528,2006
"Santiago","Chile","Santiago","Latin America","Departamental Poniente",3.5,NA,"None",0,0,3.5,NA,NA,NA,"No","None",NA,NA,2009,"Chile",5879000,448,35,23,0.93,14528,2006
"Santiago","Chile","Santiago","Latin America","Anillo Intermedio Norte",2.6,NA,"None",0,0,2.6,NA,NA,NA,"No","None",NA,NA,2008,"Chile",5879000,448,35,23,0.93,14528,2006
"Santiago","Chile","Santiago","Latin America","Santa Rosa Norte",10.85,58600,"None",0,0,8.35,29,126,13500,"No","None",417.3,NA,2008,"Chile",5879000,448,35,23,0.93,14528,2006
"Santiago","Chile","Santiago","Latin America","Suiza - Las Rejas",2.9,6300,"None",NA,0,1.95,25,36,3800,"No","None",580,NA,2006,"Chile",5879000,448,35,23,0.93,14528,2006
"Santiago","Chile","Santiago","Latin America","Las Industrias",13.3,NA,"None",0,0,13.3,NA,NA,NA,"No","None",NA,NA,2008,"Chile",5879000,448,35,23,0.93,14528,2006
"Santiago","Chile","Santiago","Latin America","Pajaritos Sur",1.8,6500,"None",0,0,1.8,26.5,99,4300,"No","None",300,NA,2008,"Chile",5879000,448,35,23,0.93,14528,2006
"Santos","Brazil","Santos","Latin America","Ana Costa",2.6,1705,"None",0,0,2.6,13,28,NA,"No","None",300,NA,2009,"Brazil",433966,708.2,50.7,37.2,0.84,11384,2009
"Sao Paulo","Brazil","São Paulo","Latin America","Campo Limpo - Rebouças - Centro",17.2,410000,"None",0,0,17.2,15,223,18000,"No","None",905.3,NA,2004,"Brazil",11967825,2532.9,36.8,31.1,0.98,11384,1980
"Sao Paulo","Brazil","São Paulo","Latin America","Inajar - Rio Branco - Centro",13.6,223000,"None",0,0,13.6,18.5,179,1500,"Yes","None",680,NA,1991,"Brazil",11967825,2532.9,36.8,31.1,0.98,11384,1980
"Sao Paulo","Brazil","São Paulo","Latin America","Parelheiros - Rio Bonito - Santo Amaro",30.5,390000,"None",0,0,30.5,22.4,204,25025,"Yes","None",484.1,NA,2004,"Brazil",11967825,2532.9,36.8,31.1,0.98,11384,1980
"Sao Paulo","Brazil","São Paulo","Latin America","Expresso Tiradentes (Eixo Sudeste)",12,60000,"All",12,0,0,34.5,47,6180,"Yes","All",1714.3,NA,2007,"Brazil",11967825,2532.9,36.8,31.1,0.98,11384,1980
"Sao Paulo","Brazil","São Paulo","Latin America","Jd. Ângela - Guarapiranga - Santo Amaro",7.5,353000,"None",0,1.1,6.4,16.5,267,24428,"Yes","None",576.9,NA,2000,"Brazil",11967825,2532.9,36.8,31.1,0.98,11384,1980
"Sao Paulo","Brazil","São Paulo","Latin America","Itapecerica - João Dias - Santo Amaro",6.2,264000,"None",0,0,6.2,14.4,123,13359,"Yes","None",563.6,NA,2000,"Brazil",11967825,2532.9,36.8,31.1,0.98,11384,1980
"Sao Paulo","Brazil","São Paulo","Latin America","Pirituba - Lapa - Centro",15.2,325000,"None",0,0,15.2,15.9,169,14000,"Yes","None",460.6,NA,2003,"Brazil",11967825,2532.9,36.8,31.1,0.98,11384,1980
"Sao Paulo","Brazil","São Paulo","Latin America","Ver. José Diniz - Ibirapuera - Santa Cruz",8.9,451000,"None",0,0,8.9,18.2,269,28024,"Yes","None",445,NA,2004,"Brazil",11967825,2532.9,36.8,31.1,0.98,11384,1980
"Sao Paulo","Brazil","São Paulo","Latin America","Santo Amaro - Nove de Julho - Centro",14.8,609000,"None",0,0,14.8,18.9,229,26000,"Yes","None",592,NA,1987,"Brazil",11967825,2532.9,36.8,31.1,0.98,11384,1980
"Sao Paulo","Brazil","São Paulo","Latin America","Paes de Barros",3.9,79000,"None",0,0,3.9,18.9,34,3370,"Yes","None",650,NA,1980,"Brazil",11967825,2532.9,36.8,31.1,0.98,11384,1980
"São Paulo - Metropolitan area","Brazil","São Paulo - Metropolitan area","Latin America","Corredor Metropolitano ABD",45,360000,"None",0,0,41.41,21,NA,NA,"No","Partial",625,NA,1988,"Brazil",14360674,2634.7,36.8,31.1,0.96,11384,1988
"Seoul","Republic of Korea","Seoul","Asia","",43,4e+05,"",NA,NA,NA,17,NA,8400,"","None",NA,NA,2004,"Republic of Korea",10442426,2176,NA,NA,NA,27971,2004
"Snohomish County","United States","Snohomish County","Northern America","",28.9,4878,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2009,"United States",713000,NA,9.3,86,NA,54630,2009
"Sorocaba","Brazil","Sorocaba","Latin America","Hermelino Matarazzo",1.4,NA,"None",0,0,1.4,NA,NA,NA,"No","None",NA,NA,2012,"Brazil",644919,1335.5,26,42,0.96,11384,2012
"Sorocaba","Brazil","Sorocaba","Latin America","Comendador Oeterer",1.4,NA,"None",0,0,1.4,NA,NA,NA,"No","None",NA,NA,2012,"Brazil",644919,1335.5,26,42,0.96,11384,2012
"Stockholm","Sweden","Stockholm","Europe","",40,57000,"",NA,NA,NA,16.5,15,NA,"",NA,NA,NA,1998,"Sweden",889501,328,35,47,4.24,58939,1998
"Stockton","United States","Stockton","Northern America","Route #44 - Airport Corridor",8.85,966,"",NA,NA,NA,NA,3,NA,"","All",1.1,NA,2011,"United States",302389,494,1,96,1.5,54630,2007
"Stockton","United States","Stockton","Northern America","Route #43 - Hammer Corridor",8.52,1120,"",NA,NA,NA,NA,4,NA,"","All",0.6,NA,2012,"United States",302389,494,1,96,1.5,54630,2007
"Stockton","United States","Stockton","Northern America","Route #40 - Pacific Corridor",8.85,3236,"",NA,NA,NA,NA,6,NA,"","All",1.1,NA,2007,"United States",302389,494,1,96,1.5,54630,2007
"Strasbourg","France","Strasbourg","Europe","Ligne G",5.2,9000,"None",NA,NA,NA,18,NA,NA,"N/A","All",472,7.61,2013,"France",272222,347.6,12,47,1.88,42733,2013
"Subang Jaya","Malaysia","Subang Jaya","Asia","BRT Sunway Line",5.4,NA,"All",5.4,0,0,NA,15,NA,"Yes","All",771,31.35,2015,"Malaysia",708296,6581,19,81,1.26,11307,2015
"Sumaré","Brazil","Sumaré","Latin America","Corredor Metropolitano Noroeste",32.7,75000,"All",3,0,29.7,NA,NA,NA,"No","None",1090,NA,2010,"Brazil",265955,801.1,22,39,2.28,11384,2010
"Surat","India","Surat","Asia","Udhna Darwaza to Sachin GIDC",10,13500,"None",0,0,10,NA,6,NA,"","All",526.3,NA,2014,"India",4462002,1089.9,13,31,0.23,1582,2014
"Swansea","United Kingdom","Swansea","Europe","",13.5,5000,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2009,"United Kingdom",239600,1560,NA,NA,NA,46332,2009
"Sydney - Blacktown - Rouse Hill","Australia","Sydney - Blacktown - Rouse Hill","Oceania","Blacktown to Rouse Hill (North-West T-way)",6.4,NA,"None",0,0,6.4,18,17,NA,"Yes","Partial",711,NA,2007,"Australia",307816,377,23.5,70,1.71,61926,2007
"Sydney - Liverpool - Parramatta","Australia","Sydney - Liverpool - Parramatta","Oceania","Liverpool-Parramatta T-Way",31,10681,"Partial",3,0,28,29,6,3069,"Yes","Partial",920,NA,2003,"Australia",643702,377,23.5,70,1.71,61926,2003
"Sydney - Parramatta - Rouse Hill","Australia","Sydney - Parramatta - Rouse Hill","Oceania","Parramatta to Rouse Hill (North-West T-way)",11.7,7660,"Partial",0,0,11.7,29,42,NA,"No","Partial",861,NA,2007,"Australia",469853,377,23.5,70,1.71,61926,2007
"Tabriz","Iran","Tabriz","Asia","",18,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2009,"Iran",2383294,NA,NA,NA,NA,5443,2009
"Taichung","Taiwan","Taichung","Asia","Blue Line",17.2,50000,"None",NA,NA,NA,NA,NA,NA,"","All",820,NA,2014,"Taiwan",2701661,1219.8,8,84,1.4,20925,2014
"Taipei","Taiwan","Taipei","Asia","",60,1200000,"",NA,NA,NA,19.5,NA,9500,"",NA,380,0.35,1998,"Taiwan",2618772,2829,34,47,NA,20925,1998
"Tehran","Iran","Tehran","Asia","Line 7",18.5,NA,"",0,0,18.5,NA,NA,NA,"N/A","All",686,NA,2011,"Iran",8244535,10854,NA,NA,0.07,5443,2008
"Tehran","Iran","Tehran","Asia","Line 2",18.7,NA,"",0,0,18.7,NA,NA,NA,"N/A","All",693,NA,2009,"Iran",8244535,10854,NA,NA,0.07,5443,2008
"Tehran","Iran","Tehran","Asia","Line 8",6.2,40000,"",0,0,6.2,NA,NA,NA,"N/A","All",885,NA,2013,"Iran",8244535,10854,NA,NA,0.07,5443,2008
"Tehran","Iran","Tehran","Asia","Line 1",8.4,NA,"",0,0,18.7,NA,90,NA,"N/A","All",779,NA,2008,"Iran",8244535,10854,NA,NA,0.07,5443,2008
"Tehran","Iran","Tehran","Asia","Line 10",10,NA,"",0,0,10,NA,NA,NA,"N/A","All",588,NA,2011,"Iran",8244535,10854,NA,NA,0.07,5443,2008
"Tehran","Iran","Tehran","Asia","Line 5",22,NA,"",0,0,22,NA,NA,NA,"N/A","All",1375,NA,2013,"Iran",8244535,10854,NA,NA,0.07,5443,2008
"Tehran","Iran","Tehran","Asia","Line 3",14.3,NA,"",0,0,14.3,NA,NA,NA,"N/A","All",841,NA,2009,"Iran",8244535,10854,NA,NA,0.07,5443,2008
"Tehran","Iran","Tehran","Asia","Line 4",21.5,NA,"",0,0,21.5,NA,NA,NA,"N/A","All",1075,NA,2011,"Iran",8244535,10854,NA,NA,0.07,5443,2008
"Teresina","Brazil","Teresina","Latin America","Av. Frei Serafim",1.5,NA,"None",0,0,1.5,NA,NA,NA,"",NA,750,NA,2011,"Brazil",844245,113,24.4,31.2,0.65,11384,2011
"Toulouse","France","Toulouse","Europe","",11,13300,"",NA,NA,NA,25,8,NA,"",NA,NA,6.273,2008,"France",441802,229,8,75,NA,42733,2008
"Uberaba","Brazil","Uberaba","Latin America","Leste/Oeste",5,68000,"",NA,NA,5,25,15,NA,"Yes","All",500,2.239,2015,"Brazil",322126,70.5,NA,NA,0.8,11384,2015
"Uberlândia","Brazil","Uberlândia","Latin America","Estrutural Sudeste",7.5,16000,"None",0,0,7.5,25,20,3583,"Yes","All",500,1.59,2006,"Brazil",662362,159.1,38,26,0.8,11384,2006
"Urumqi","China","Urumqi","Asia","Line 3",NA,NA,"",NA,NA,NA,NA,NA,NA,"","All",NA,NA,2013,"China",2518000,263,NA,NA,0.16,7590,2011
"Urumqi","China","Urumqi","Asia","Line 1",NA,NA,"",NA,NA,NA,NA,NA,NA,"","All",NA,NA,2011,"China",2518000,263,NA,NA,0.16,7590,2011
"Urumqi","China","Urumqi","Asia","Line 4",NA,NA,"",NA,NA,NA,NA,NA,NA,"","All",NA,NA,2014,"China",2518000,263,NA,NA,0.16,7590,2011
"Urumqi","China","Urumqi","Asia","Line 2",NA,NA,"",NA,NA,NA,NA,NA,NA,"","All",NA,NA,2012,"China",2518000,263,NA,NA,0.16,7590,2011
"Utrecht","Netherlands","Utrecht","Europe","",8.2,40000,"",NA,NA,NA,NA,8,NA,"",NA,NA,NA,2001,"Netherlands",323845,NA,18,47,2.99,52172,2001
"Vancouver","Canada","Vancouver","Northern America","Broadway Corridor",27,1e+05,"None",0,0,6.6,23,NA,NA,"No","All",1900,NA,1996,"Canada",578041,735.6,25,58,2.09,50235,1996
"Waterloo","Canada","Waterloo","Northern America","201 iXpress",15,3000,"None",NA,NA,NA,NA,4,NA,"Yes","None",714,NA,2011,"Canada",98780,576.7,5,88,2.28,50235,2005
"Waterloo","Canada","Waterloo","Northern America","200 iXpress",37,11000,"None",NA,NA,NA,NA,4,NA,"Yes","None",2640,NA,2005,"Canada",98780,576.7,5,88,2.28,50235,2005
"Winnipeg","Canada","Winnipeg","Northern America","RT",3.6,166000,"",NA,NA,NA,NA,45,NA,"",NA,NA,NA,2012,"Canada",663617,1430,13,79,1.98,50235,2012
"Xiamen","China","Xiamen","Asia","Line 2",10,NA,"",NA,NA,NA,NA,NA,NA,"","All",2500,NA,2010,"China",1909000,1213.7,NA,NA,0.79,7590,2008
"Xiamen","China","Xiamen","Asia","Line 3",10.7,NA,"",NA,NA,NA,NA,NA,NA,"","All",710,NA,NA,"China",1909000,1213.7,NA,NA,0.79,7590,2008
"Xiamen","China","Xiamen","Asia","Line 1",28.2,NA,"",NA,NA,NA,NA,NA,NA,"","All",1340,NA,2008,"China",1909000,1213.7,NA,NA,0.79,7590,2008
"Yancheng","China","Yancheng","Asia","Line 1",16,33000,"None",0,0,16,18,30,1300,"","All",650,NA,2010,"China",760000,895.8,NA,NA,0.16,7590,2010
"Yichang","China","Yichang","Asia","Phase 1",13,240000,"All",0,0,13,20,94,5400,"","All",590.9,NA,2015,"China",1049363,330,NA,NA,0.32,7590,2015
"Yinchuan","China","Yinchuan","Asia","Line 1",17,87000,"",0,0,17,15,63,3600,"","All",770,NA,2012,"China",1130000,433.7,NA,NA,0.16,7590,2012
"York","United Kingdom","York","Europe","FTR",5,5500,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2006,"United Kingdom",197783,727,11,57,5.85,46332,2006
"York Regional Municipality","Canada","York Regional Municipality","Northern America","Line2",59,35300,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,2005,"Canada",1032524,945.4,NA,NA,3.04,50235,2005
"Zaozhuang","China","Zaozhuang","Asia","Line 1",33,30000,"",0,0,33,30,27,700,"","Partial",1375,NA,2010,"China",2258000,735.6,NA,NA,0.32,7590,2010
"Zhengzhou","China","Zhengzhou","Asia","Line 1",30.5,650000,"",0,0,26.6,15,52,5600,"","All",800,NA,2009,"China",5872000,5813.9,NA,NA,0.16,7590,2009
"Zurich","Switzerland","Zurich","Europe","Line 31",11,14000,"None",0,0,2.8,19,8,1300,"Yes","None",407,NA,2007,"Switzerland",396389,903.5,29,30,2.64,84594,2007
