"category_variable","id_variable","year","type","variable","Difference","Mean.x","Mean.y","x_difference","p.value","max_score","left_beta","mean_beta","right_beta","beta","left_productivity","mean_productivity","right_productivity","interval_productivity","significant","ranking"
"g","g1","2013-2014","no_difference","Commercial speeds",-6.769,-13.478,-6.709,100.9,0.167,-10,-395.044997088352,277.021116356058,949.087229800467,NA,2674,-1875,-6424,-9098,"No",28
"g","g1","2014","no_difference","Commercial speeds",-6.917,-20.667,-13.75,50.3,0.418,-10,-395.044997088352,277.021116356058,949.087229800467,NA,2733,-1916,-6565,-9298,"No",134
"g","g2","2013-2014","weaknesses","Peak passengers per hour per direction (pphpd) below 1,000",-19.207,-21.739,-2.532,758.6,0.001,-5,-395.044997088352,277.021116356058,949.087229800467,NA,7588,-5321,-18229,-25817,"No",48
"g","g6","2013","no_difference","Peak frequency",16.313,100,83.687,19.5,0.165,-3,-395.044997088352,277.021116356058,949.087229800467,NA,-6444,4519,15482,21926,"No",105
"g","g7","2014","no_difference","Off-peak frequency",4.688,0,-4.688,-100,0.36,-2,-395.044997088352,277.021116356058,949.087229800467,NA,-1852,1299,4449,6301,"No",95
"g","g7","2013","no_difference","Off-peak frequency",18.085,100,81.915,22.1,0.173,-2,-395.044997088352,277.021116356058,949.087229800467,NA,-7144,5010,17164,24308,"No",111
"g","g7","2013-2014","no_difference","Off-peak frequency",-12.053,34.783,46.835,-25.7,0.329,-2,-395.044997088352,277.021116356058,949.087229800467,NA,4761,-3339,-11439,-16200,"No",8
"g","g8","2013-2014","strengths","Poorly-maintained Busway, Buses, Stations and Technology Systems",4.462,0,-4.462,-100,0.042,-10,-395.044997088352,277.021116356058,949.087229800467,NA,-1763,1236,4235,5998,"No",29
"g","g8","2013","no_difference","Poorly-maintained Busway, Buses, Stations and Technology Systems",3.457,0,-3.457,-100,0.156,-10,-395.044997088352,277.021116356058,949.087229800467,NA,-1366,958,3281,4647,"No",62
"g","g8","2014","no_difference","Poorly-maintained Busway, Buses, Stations and Technology Systems",5.938,0,-5.938,-100,0.112,-10,-395.044997088352,277.021116356058,949.087229800467,NA,-2346,1645,5636,7982,"No",103
"g","g4","2013","no_difference","Significant gap between bus floor and station platform",9.787,0,-9.787,-100,0.226,-5,-395.044997088352,277.021116356058,949.087229800467,NA,-3866,2711,9289,13155,"No",7
"g","g5","2014","no_difference","Overcrowding",9.75,-4,-13.75,-70.9,0.264,-5,-395.044997088352,277.021116356058,949.087229800467,NA,-3852,2701,9254,13106,"No",9
"g","g5","2013-2014","strengths","Overcrowding",24.901,-2.609,-27.51,-90.5,0.008,-5,-395.044997088352,277.021116356058,949.087229800467,NA,-9837,6898,23633,33470,"No",106
"g","g5","2013","strengths","Overcrowding",36.879,0,-36.879,-100,0.037,-5,-395.044997088352,277.021116356058,949.087229800467,NA,-14569,10216,35001,49570,"No",94
"g","g6","2013-2014","no_difference","Peak frequency",-22.563,21.739,44.303,-50.9,0.116,-3,-395.044997088352,277.021116356058,949.087229800467,NA,8913,-6250,-21414,-30327,"No",91
"g","g6","2014","no_difference","Peak frequency",-6.456,-20,-13.544,47.7,0.565,-3,-395.044997088352,277.021116356058,949.087229800467,NA,2550,-1788,-6127,-8677,"No",90
"s","score","2013","no_difference","",-4.298,71,75.298,-5.7,0.378,100,NA,NA,NA,NA,NA,NA,NA,NA,"No",136
"s","score","2014","weaknesses","",-6.907,62.733,69.641,-9.9,0.026,100,NA,NA,NA,NA,NA,NA,NA,NA,"No",137
"s","score","2013-2014","weaknesses","",-7.398,65.609,73.006,-10.1,0.009,100,NA,NA,NA,NA,NA,NA,NA,NA,"No",138
"t","total_score","2014","weaknesses","",-7.293,58.067,65.359,-11.2,0.026,100,NA,NA,NA,NA,NA,NA,NA,NA,"No",139
"t","total_score","2013-2014","weaknesses","",-7.15,62.565,69.715,-10.3,0.018,100,NA,NA,NA,NA,NA,NA,NA,NA,"No",140
"t","total_score","2013","no_difference","",-1.681,71,72.681,-2.3,0.741,100,NA,NA,NA,NA,NA,NA,NA,NA,"No",141
