"city","country","weight_variable","score","total_score","a","a2","a1","a3","a4","a5","b","b1","g6","g7","b2","b3","b4","b5","b6","b7","c","c1","c2","c3","c4","c5","d","d1","d2","d3","d4","d5","e","e1","e2","f","f1","f2","f3","f4","f5","f6","g","g1","g2","g3","g4","g5","g8","corridor_length","productivity","demand","system_length","speed","year_system_commenced","pop_density","peak_frequency","peak_load_pax"
"Changde","China",1,58,53,71.1,100,100,50,0,100,57.9,100,0,0,0,100,100,0,100,0,21.4,0,33.3,0,0,100,80,0,100,100,100,100,100,100,100,28.6,0,100,0,0,50,0,-11.1,0,-100,0,0,0,0,18.9,NA,NA,18.9,31,2012,558.2,27,800
"Changzhou","China",1,68,68,81.8,100,100,100,0,100,87.5,100,100,100,0,100,100,100,100,100,28.6,0,33.3,33.3,0,100,90,100,66.7,100,100,100,100,100,100,14.3,0,0,33.3,0,50,0,0,0,0,0,0,0,0,51.9,7014,350000,49.9,18,2008,1237.8,77,NA
"Chengdu","China",1,72,72,100,100,100,100,100,100,57.9,100,0,0,0,100,100,0,100,0,50,0,33.3,100,50,100,50,0,100,0,100,100,100,100,100,42.9,0,100,66.7,0,50,0,0,0,0,0,0,0,0,28.8,NA,NA,28.8,26,2013,1200,40,6650
"Cleveland","United States",1,76,76,87.9,100,100,85.7,50,100,66.7,100,33.3,0,0,100,100,100,100,50,57.1,50,66.7,33.3,50,100,90,100,100,100,100,0,100,100,100,64.3,100,33.3,100,50,50,0,0,0,0,0,0,0,0,15,1386,15800,11.4,17.7,2009,8920.2,10,NA
"Curitiba","Brazil",2,87,87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,60.7,50,50,100,25,75,90,100,83.35,100,50,100,80,100,50,60.7,66.7,100,83.35,0,50,0,0,0,0,0,0,0,0,83.5,6686.5,561000,83.9,NA,1974,179.6,67,12500
"Dalian","China",1,51,51,71.1,87.5,62.5,100,0,100,42.1,100,0,0,0,0,100,0,100,0,42.9,0,0,100,50,100,40,0,33.3,100,0,0,40,33.3,50,28.6,0,66.7,66.7,0,0,0,0,0,0,0,0,0,0,9,6350.4,87000,13.7,24,2008,1165.5,75,6430
"Delhi","India",1,42,30,54.5,100,100,0,0,66.7,58.3,100,33.3,0,0,33.3,100,100,50,100,0,0,0,0,0,0,50,100,0,66.7,100,0,20,0,50,28.6,33.3,0,66.7,0,50,0,-33.3,0,0,-60,-100,-100,-12.5,5.8,NA,NA,NA,NA,NA,NA,NA,NA
"Eugene","United States",1,58,55,60.6,57.1,57.1,85.7,0,100,45.8,0,0,100,0,100,100,100,50,0,35.7,0,66.7,33.3,0,100,70,100,66.7,100,0,0,100,100,100,71.4,100,100,66.7,50,50,0,-8.3,-30,0,0,0,0,0,12.5,529.7,10000,18.88,24,2007,28.8,6,500
"Guadalajara","Mexico",1,93,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,100,100,100,200,100,80,100,50,50,66.7,66.7,100,0,0,0,0,0,0,0,0,0,0,16,7937.5,127000,16,28,2009,1967.5,12,9000
"Guangzhou","China",1,91,91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,64.3,100,0,100,0,100,100,100,100,100,100,100,80,66.7,100,78.6,33.3,100,66.7,100,100,100,0,0,0,0,0,0,0,22.5,37777.8,850000,22.5,23,2010,1764.2,350,29000
