"city","country","country_ITDP","city_ITDP","year","system","corridor","corridor_length","a","a1","a2","a3","a4","a5","b","b1","b2","b3","b4","b5","b6","b7","c","c1","c2","c3","c4","c5","d","d1","d2","d3","d4","d5","e","e1","e2","f","f1","f2","f3","f4","f5","f6","score","g","g1","g2","g3","g4","g5","g6","g7","g8","total_score","classification","gdp","continent","pop_density","corridors_city_length","population","bus_split","net_score","id","x_a","x_b","x_c","x_d","x_e","x_f","x_g","productivity","demand","system_length","speed","year_system_commenced","peak_frequency","peak_load_pax"
"Bogota","Colombia","Colombia","Bogota",2013,"TransMilenio","Caracas",7.3,97,100,100,100,83.3,100,100,100,100,100,100,100,100,100,64.3,100,0,100,100,0,100,100,100,100,100,100,100,100,100,42.9,100,0,100,0,0,0,86,-8.3,0,0,0,0,-100,100,100,0,83,"Silver",7904,"Latin America",3347.4,112.9,7760500,59,83,52,98.61,98.02,73.06,100,100,57.57,-8.3,19603.5,2213236,112.9,26.2,2000,320,48000
"Bogota","Colombia","Colombia","Bogota",2013,"TransMilenio","El Dorado",10.8,100,100,100,100,100,100,87.5,50,66.7,100,100,100,100,100,78.6,100,0,100,100,100,100,100,100,100,100,100,100,100,100,64.3,100,0,100,50,100,0,89,-8.3,0,0,0,0,-100,100,100,0,86,"Gold",7904,"Latin America",3347.4,112.9,7760500,59,86,57,98.61,98.02,73.06,100,100,57.57,-8.3,19603.5,2213236,112.9,26.2,2000,320,48000
"Bogota","Colombia","Colombia","Bogota",2013,"TransMilenio","NQS",8.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,78.6,100,0,100,100,100,100,100,100,100,100,100,100,100,100,64.3,100,0,100,50,100,0,92,-8.3,0,0,0,0,-100,100,100,0,89,"Gold",7904,"Latin America",3347.4,112.9,7760500,59,89,56,98.61,98.02,73.06,100,100,57.57,-8.3,19603.5,2213236,112.9,26.2,2000,320,48000
"Bogota","Colombia","Colombia","Bogota",2013,"TransMilenio","Suba",9.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,78.6,100,0,100,100,100,100,100,100,100,100,100,100,100,100,64.3,100,0,100,50,100,0,92,-8.3,0,0,0,0,-100,100,100,0,89,"Gold",7904,"Latin America",3347.4,112.9,7760500,59,89,51,98.61,98.02,73.06,100,100,57.57,-8.3,19603.5,2213236,112.9,26.2,2000,320,48000
"Brisbane","Australia","Australia","Brisbane",2013,"(no BRT system name)","South East Busway",16.5,69.7,100,100,0,100,50,87.5,100,100,100,100,100,100,100,92.9,100,66.7,100,100,100,60,0,100,100,0,0,100,100,100,85.7,100,100,100,100,50,0,80,-8.3,0,0,0,-40,0,33.3,50,-12.5,77,"Silver",61926,"Oceania",347.2,28.4,1970000,15.3,77,58,69.7,87.5,92.9,60,100,85.7,-8.3,12563.4,356800,28.4,37.5,2000,295,19900
"Buenos Aires","Argentina","Argentina","Buenos Aires",2013,"Metrobus","Juan B Justo",12.5,69.7,100,100,0,83.3,66.7,75,100,0,0,100,100,100,100,28.6,0,0,100,0,50,90,100,100,100,100,0,40,33.3,50,42.9,66.7,33.3,100,0,0,0,62,-2.8,0,0,-20,0,0,100,100,0,61,"Bronze",12510,"Latin America",50.7,38.5,2891082,44.7,61,59,69.7,75,28.6,90,40,42.9,-2.8,15584.4,6e+05,38.5,24,2011,30,3500
"Buenos Aires","Argentina","Argentina","Buenos Aires",2014,"Metrobus","9 de Julio",3.5,73.7,100,100,0,85.7,85.7,68.4,100,0,0,100,100,100,100,78.6,100,0,100,100,100,80,100,100,66.7,100,0,40,33.3,50,57.1,100,33.3,100,0,50,0,70,0,0,0,0,0,0,0,0,0,70,"Silver",12510,"Latin America",50.7,38.5,2891082,44.7,70,4,73.7,68.4,78.6,80,40,57.1,0,15584.4,6e+05,38.5,24,2011,30,3500
"Cali","Colombia","Colombia","Cali",2013,"MIO","1st phase (all corridors)",39,100,100,100,100,100,100,100,100,100,100,100,100,100,100,71.4,75,0,100,100,100,100,100,100,100,100,100,80,100,50,35.7,100,0,66.7,0,0,0,86,-11.1,0,0,-20,0,-100,100,100,0,82,"Silver",7904,"Latin America",327,36.1,2344703,48,82,60,100,100,71.4,100,80,35.7,-11.1,13068,471361,36.07,17.8,2008,25,13000
"Cambridge","United Kingdom","UK","Cambridge",2013,"Cambridgeshire Busway","Route A",26,66.7,71.4,71.4,0,100,100,79.2,100,0,100,100,100,100,0,35.7,0,0,100,0,100,30,0,100,0,0,0,100,100,100,85.7,100,66.7,100,100,100,0,66,0,0,0,0,0,0,100,100,0,66,"Bronze",46332,"Europe",204,40,128000,9,66,61,66.7,79.2,35.7,30,100,85.7,0,300,12000,40,60,2011,12,NA
"Cape Town","South Africa","South Africa","Cape Town",2013,"MyCiTi","Phase 1A",17,80.3,100,92.9,100,0,100,29.2,0,0,100,100,0,50,50,57.1,100,33.3,0,100,50,80,0,100,100,100,100,80,100,50,64.3,100,0,100,50,100,0,62.5,0,0,0,0,0,0,0,0,0,62.5,"Bronze",6483,"Africa",1530,17,3740026,43.7,62.5,62,80.3,29.2,57.1,80,80,64.3,0,1176.5,20000,17,NA,2011,6,NA
"Caracas","Venezuela","Venezuela","Caracas",2014,"BusCaracas","Línea 7",5.2,97.4,87.5,100,100,100,100,47.4,0,0,66.7,100,100,50,50,64.3,0,66.7,100,100,100,90,100,100,100,0,100,80,100,50,50,100,66.7,66.7,0,0,0,75,-6.7,0,0,-60,0,0,0,0,0,72,"Silver",12772,"Latin America",4009,5.2,1943901,56.9,72,5,97.4,47.4,64.3,90,80,50,-6.7,5769.2,30000,5.2,NA,2012,NA,NA
