Region,Country,City,Corridor,Value,Year,Source
Latin America,Argentina,Buenos Aires,9 de Julio,3,2013,movilidad.buenosaires.gob.ar
Latin America,Argentina,Buenos Aires,Juan B. Justo,12.5,2011,movilidad.buenosaires.gob.ar
Latin America,Argentina,Córdoba,Sabattini,5.3,2014,infodecordoba.com.ar
Latin America,Argentina,Rosario,Santa Fé - Maipú,4.7,"2013, one direction",ssl.rosario.gov.ar
Latin America,Argentina,Rosario,San Lorenzo - Laprida,3.2,"2013, one direction",ssl.rosario.gov.ar
Latin America,Argentina,Rosario,Córdoba,1.7,"2013, one direction",ssl.rosario.gov.ar
Latin America,Brazil,Belém,Almirante Barroso,6,2014,ww3.belem.pa.gov.br
Latin America,Brazil,Belo Horizonte,MOVE - Antônio Carlos,14.7,2014,www.bhtrans.pbh.gov.br
Latin America,Brazil,Belo Horizonte,MOVE - Cristiano Machado,7.1,2014,www.bhtrans.pbh.gov.br
Latin America,Brazil,Belo Horizonte,Nossa Senhora do Carmo,0.9,2014,www.bhtrans.pbh.gov.br
Latin America,Brazil,Belo Horizonte,Boulevard Arrudas,1.4,,www.bhtrans.pbh.gov.br
Latin America,Brazil,Belo Horizonte,MOVE - Área Central,1.3,2014,www.bhtrans.pbh.gov.br
Latin America,Brazil,Belo Horizonte,Amazonas,7.9,,BHTrans
Latin America,Brazil,Belo Horizonte,Pedro II,6,2014,bhtrans.pbh.gov.br
Latin America,Brazil,Blumenau,Rua 7 de Setembro,1.8,"2013, One direction",www.dihitt.com.br
Latin America,Brazil,Blumenau,Av. Martin Luther,0.9,"2013, One direction",Google Maps
Latin America,Brazil,Blumenau, Av. Presidente Castelo Branco (Beira-Rio),1.3,"2013, One direction",www.blumenau.sc.gov.br
Latin America,Brazil,Blumenau,Rua 2 de Setembro,1.9,"2013, One direction",www.blumenau.sc.gov.br & Google Maps
Latin America,Brazil,Blumenau,Rua São Paulo - Iguaçu (Henrique Classen),1.3,"2013, One direction",www.blumenau.sc.gov.br & Google Maps
Latin America,Brazil,Blumenau,Rua São Paulo - Antônio da Veiga (Castelo Branco),1.3,"2013, One direction",www.blumenau.sc.gov.br & Google Maps
Latin America,Brazil,Blumenau,Rua Eng Paul Werner,1.1,"2013, One direction",www.blumenaunoticias.com.br & Google Maps
Latin America,Brazil,Blumenau,Rua das Palmeiras,0.9,"2013, One direction",www.blumenaunoticias.com.br & Google Maps
Latin America,Brazil,Brasília,Expresso DF Sul,36.2,2014,www.dftrans.df.gov.br
Latin America,Brazil,Brasília,Estrada Parque Núcleo Bandeirante,24,2013,www.dftrans.df.gov.br
Latin America,Brazil,Brasília,W3 Norte,7.2,2013,www.dftrans.df.gov.br
Latin America,Brazil,Brasília,W3 Sul,7.2,2013,www.dftrans.df.gov.br
Latin America,Brazil,Brasília,Setor Policial,3.5,2013,www.dftrans.df.gov.br
Latin America,Brazil,Brasília,Estrada Parque Taguatinga-Guará,13,2013,www.dftrans.df.gov.br
Latin America,Brazil,Campinas,Av. Amoreiras,4.1,,www.emdec.com.br
Latin America,Brazil,Campinas,Av. João Jorge,0.65,,Google Maps
Latin America,Brazil,Campinas,Corredor Central,8.6,,www.campinas.sp.gov.br
Latin America,Brazil,Campo Grande,Duque de Caxias,4.4,2012,www.pmcg.ms.gov.br
Latin America,Brazil,Campo Grande,Rui Barbosa,1,"2013, One direction",Google Maps
Latin America,Brazil,Campo Grande,Av. Calógeras,1.2,"2012, One direction",Google Maps
Latin America,Brazil,Campo Grande,Rua 26 de Agosto,0.72,"2012, One direction",Google Maps
Latin America,Brazil,Caxias do Sul,Pinheiro Machado,1.9,"2013, One direction",Visate
Latin America,Brazil,Caxias do Sul,Marechal Floriano,0.7,"2013, One direction",Visate
Latin America,Brazil,Caxias do Sul,Moreira Cesar - Centro Bairro,0.7,"2013, One direction",Visate
Latin America,Brazil,Caxias do Sul,Pio 12 - Moreira,1.9,"2013, One direction",Visate
Latin America,Brazil,Caxias do Sul,18 do Forte,1,"2013, One direction",Visate
Latin America,Brazil,Caxias do Sul,Sinimbu,2.7,"2013, One direction",Visate
Latin America,Brazil,Caxias do Sul,Bento,0.7,"2013, One direction",Visate
Latin America,Brazil,Criciúma,Av. Centenário,8,,www.cbtu.gov.br
Latin America,Brazil,Curitiba,Linha Verde,13.6,2013,URBS
Latin America,Brazil,Curitiba,Boqueirão,18,2013,URBS
Latin America,Brazil,Curitiba,Leste,13.2,2013,URBS
Latin America,Brazil,Curitiba,Oeste,9.2,2013,URBS
Latin America,Brazil,Curitiba,Norte,8.8,2013,URBS
Latin America,Brazil,Curitiba,Sul,18.6,2013,URBS
Latin America,Brazil,Curitiba,Rua XV de Novembro,2.5,"2014, One direction",www.urbs.curitiba.pr.gov.br
Latin America,Brazil,São Paulo - Metropolitan area,Corredor Metropolitano ABD,45,,ie.org.br
Latin America,Brazil,Feira de Santana,Av. Senhor dos Passos,1.2,2014,Google maps
Latin America,Brazil,Fortaleza,Av. João Pessoa,2.7,"2014, One direction",Google Maps
Latin America,Brazil,Fortaleza,Av. Bezerra de Menezes,5.8,"2015, 0.8 km is only in one direction",Google Maps
Latin America,Brazil,Goiânia,Leste Oeste (Eixo Anhanguera),13.5,,www.skyscrapercity.com
Latin America,Brazil,Goiânia,80-90 Goiás,10.5,,RMTC
Latin America,Brazil,Goiânia,Universitário,2.5,2013,novoportal.ntu.org.br
Latin America,Brazil,Guarulhos,Guarulhos,3.7,2013,www.emtu.sp.gov.br
Latin America,Brazil,Jaboatão dos Guararapes,Av. Ayrton Senna,1.5,"2013, One direction",urbana-pe.com.br
Latin America,Brazil,João Pessoa,Av. Epitácio Pessoa - Av. Miguel Couto - Av. Sanhauá - Rua Guedes Pereira,7.3,"2014, 2.8 km is only in one direction",www.joaopessoa.pb.gov.br
Latin America,Brazil,Joinville,Avenida JK,0.7,"2013, One direction",CONURB
Latin America,Brazil,Joinville,João Colim,3,"2013, One direction",CONURB
Latin America,Brazil,Joinville,Blumenau,2.7,"2013, One direction",CONURB
Latin America,Brazil,Joinville,Santa Catarina,1.3,"2013, One direction",CONURB
Latin America,Brazil,Joinville,São Paulo,1.5,"2013, One direction",CONURB
Latin America,Brazil,Juiz de Fora,Av. Barão do Rio Branco,3.1,2011,Google Maps
Latin America,Brazil,Londrina,Rua João Cândido,1.3,"2013, One direction",www.londrix.com.br
Latin America,Brazil,Londrina,Rua Duque de Caxias,1.2,"2013, One direction",www.londrix.com.br
Latin America,Brazil,Londrina,Winston Churchill,4.3,2013,londrina.odiario.com
Latin America,Brazil,Maceió,Av. Fernandes Lima,15,2015,www.maceio.al.gov.br
Latin America,Brazil,Natal,Av. Bernardo Vieira,3.5,,www.clicrn.com.br
Latin America,Brazil,Niterói,Corredor Metropolitano Alameda São Boaventura,6,,www.nittrans.niteroi.rj.gov.br
Latin America,Brazil,Olinda,Av. Pan Nordestina - PE 15,13.5,,Grande Recife
Latin America,Brazil,Porto Alegre,Av. Farrapos,4,2013,EPTC
Latin America,Brazil,Porto Alegre,Av. Assis Brasil,4.4,2013,EPTC
Latin America,Brazil,Porto Alegre,Av. Sertório,5.8,2013,EPTC
Latin America,Brazil,Porto Alegre,Av. Baltazar Garcia,5.15,2013,EPTC
Latin America,Brazil,Porto Alegre,III Perimetral,11,2013,EPTC
Latin America,Brazil,Porto Alegre,Av. Aureliano de Figueiredo Pinto - Av. Érico Veríssimo (Cascatinha),2.5,2013,EPTC
Latin America,Brazil,Porto Alegre,Av. João Pessoa,2.7,2013,EPTC
Latin America,Brazil,Porto Alegre,Av. Azenha - Av. Bento,1.2,2013,EPTC
